"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","0","0","0"
"1〜4歳","0","0","0","0","0","0","2","0","0"
"5〜9歳","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","0","0","0","0","0","0"
"15〜19歳","9","0","0","0","0","0","1","0","0"
"20〜24歳","21","5","9","7","2","5","1","1","0"
"25〜29歳","21","6","3","7","1","0","0","0","0"
"30〜34歳","18","4","4","5","0","1","0","0","0"
"35〜39歳","12","6","2","2","1","0","0","0","0"
"40〜44歳","9","5","2","3","2","0","1","0","0"
"45〜49歳","8","4","0","3","2","0","1","0","0"
"50〜54歳","3","6","2","3","0","1","0","0","0"
"55〜59歳","1","2","0","0","0","0","0","0","0"
"60〜64歳","0","1","0","0","0","0","2","0","0"
"65〜69歳","1","0","0","0","0","0","2","0","0"
"70歳以上","1","1","0","0","0","0","16","5","0"
"合計","104","40","22","30","8","7","26","6","0"
