"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症"
"0歳","0","0","0","0","0","0","3","5","0"
"1〜4歳","0","0","0","0","0","0","4","9","0"
"5〜9歳","0","0","0","0","0","0","2","1","0"
"10〜14歳","0","0","0","0","0","0","1","0","0"
"15〜19歳","2","0","1","2","0","0","0","0","0"
"20〜24歳","14","3","2","10","0","1","0","0","0"
"25〜29歳","24","10","8","13","0","0","0","0","0"
"30〜34歳","19","3","8","6","0","0","0","0","0"
"35〜39歳","10","9","7","7","0","1","0","0","0"
"40〜44歳","7","7","3","7","1","0","4","0","0"
"45〜49歳","7","4","1","1","0","1","0","1","0"
"50〜54歳","4","1","3","1","0","0","1","0","1"
"55〜59歳","1","3","1","4","0","0","4","0","0"
"60〜64歳","1","0","0","0","0","0","6","1","0"
"65〜69歳","0","3","0","0","0","0","13","0","0"
"70歳以上","0","0","0","0","0","0","45","1","0"
"合計","89","43","34","51","1","3","83","18","1"
