"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","12","0","0","0"
"1〜4歳","0","0","0","0","0","0","6","2","0","0"
"5〜9歳","0","0","0","0","0","0","0","3","0","0"
"10〜14歳","0","0","0","0","0","0","0","1","0","0"
"15〜19歳","7","0","0","6","0","0","0","0","0","0"
"20〜24歳","14","2","3","11","0","1","0","0","0","0"
"25〜29歳","25","6","10","9","0","1","0","0","0","0"
"30〜34歳","27","5","15","10","0","3","2","0","0","0"
"35〜39歳","17","8","11","11","0","2","0","0","0","0"
"40〜44歳","12","11","13","7","0","1","0","0","0","0"
"45〜49歳","8","15","11","7","0","1","0","0","0","0"
"50〜54歳","8","5","5","2","0","0","2","0","0","0"
"55〜59歳","4","6","1","1","0","0","0","0","0","0"
"60〜64歳","5","3","0","1","0","0","1","0","0","0"
"65〜69歳","1","5","0","1","0","0","5","0","1","0"
"70歳以上","0","1","1","0","0","0","14","2","1","0"
"合計","128","67","70","66","0","9","42","8","2","0"
