"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症"
"0歳","0","0","0","0","0","0","6","4","0","0"
"1〜4歳","0","0","0","0","0","0","10","24","0","0"
"5〜9歳","0","0","0","0","0","0","4","1","0","0"
"10〜14歳","2","0","1","0","1","0","2","0","0","0"
"15〜19歳","8","0","4","4","0","0","1","2","0","0"
"20〜24歳","45","11","10","19","0","2","1","0","0","0"
"25〜29歳","59","16","16","21","3","3","0","1","0","0"
"30〜34歳","36","19","9","14","3","0","0","1","0","0"
"35〜39歳","36","13","11","8","2","4","2","1","0","0"
"40〜44歳","14","5","5","3","1","1","1","1","0","0"
"45〜49歳","16","6","8","3","1","0","2","5","0","0"
"50〜54歳","4","12","3","2","1","1","0","0","0","0"
"55〜59歳","5","4","2","3","0","1","3","0","0","0"
"60〜64歳","0","2","0","2","0","0","5","3","0","0"
"65〜69歳","0","2","2","0","0","0","4","3","0","0"
"70歳以上","0","4","0","0","0","0","46","16","1","0"
"合計","225","94","71","79","12","12","87","62","1","0"
