"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","11","5","2","8","0","0","2","0","0","",""
"中央区","3","3","2","1","0","0","0","0","0","",""
"みなと","6","26","6","5","0","0","2","0","0","",""
"新宿区","22","11","24","20","0","0","7","0","0","",""
"文京","6","0","1","2","0","0","2","0","0","",""
"台東","0","0","0","0","0","0","0","0","0","",""
"墨田区","1","0","0","1","0","0","8","0","0","",""
"江東区","5","2","3","5","0","0","0","0","0","",""
"品川区","3","2","1","3","0","0","0","0","0","",""
"目黒区","0","0","0","0","0","0","0","0","0","",""
"大田区","3","0","0","1","0","0","0","0","0","",""
"世田谷","0","0","0","0","0","0","1","0","0","",""
"渋谷区","4","2","2","3","0","0","1","0","0","",""
"中野区","1","0","2","0","0","0","0","0","0","",""
"杉並","7","0","0","2","0","0","0","0","0","",""
"池袋","10","3","3","7","0","0","0","1","0","",""
"北区","2","0","2","0","0","0","0","0","0","",""
"荒川区","0","0","0","0","0","0","0","0","0","",""
"板橋区","2","0","0","2","0","0","0","0","0","",""
"練馬区","0","0","0","0","0","0","0","0","0","",""
"足立","0","0","0","1","0","0","0","0","0","",""
"葛飾区","0","0","0","0","0","0","2","0","0","",""
"江戸川","4","0","0","1","0","0","0","0","0","",""
"八王子市","0","0","0","0","0","0","8","0","0","",""
"町田市","0","0","0","0","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","1","",""
"南多摩","0","0","0","0","0","0","0","0","0","",""
"多摩立川","0","0","0","0","0","0","0","0","0","",""
"多摩府中","0","0","0","0","0","0","7","0","0","",""
"多摩小平","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","90","54","48","62","0","0","40","1","1","",""
