"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"千代田","6","1","1","2","0","0","0","0","0","2","2"
"中央区","6","1","1","0","0","0","0","0","0","3","0"
"みなと","13","3","9","2","0","0","4","0","0","2","1"
"新宿区","35","17","52","22","0","0","9","2","0","7","2"
"文京","4","0","0","0","0","0","4","0","0","1","1"
"台東","9","3","2","15","6","0","0","0","0","2","0"
"墨田区","6","0","2","1","0","0","8","0","0","2","1"
"江東区","8","5","0","5","0","0","0","0","0","2","0"
"品川区","1","2","3","1","0","0","0","0","0","1","0"
"目黒区","0","0","0","0","0","0","0","0","0","0","0"
"大田区","4","0","0","0","0","0","0","0","0","2","1"
"世田谷","0","0","0","0","0","0","9","0","0","0","2"
"渋谷区","36","15","10","11","1","0","0","1","0","5","1"
"中野区","6","0","1","6","1","0","0","0","0","2","0"
"杉並","7","0","2","0","0","0","4","0","0","2","2"
"池袋","20","6","2","11","0","0","3","0","0","3","1"
"北区","0","0","2","0","0","0","0","0","0","1","0"
"荒川区","0","0","0","0","0","0","0","0","0","1","0"
"板橋区","5","0","0","1","0","0","2","0","0","2","1"
"練馬区","0","0","0","0","0","0","0","0","0","0","0"
"足立","2","0","0","1","0","0","0","0","0","2","0"
"葛飾区","0","0","0","0","0","0","1","1","0","0","1"
"江戸川","11","3","0","3","1","0","0","0","0","2","0"
"八王子市","7","1","0","0","4","0","5","0","0","4","1"
"町田市","1","0","0","0","0","0","0","0","0","1","0"
"西多摩","0","0","0","0","0","0","0","0","0","0","1"
"南多摩","0","0","0","0","0","0","0","0","0","0","0"
"多摩立川","9","0","0","0","0","0","0","0","0","2","1"
"多摩府中","1","0","0","1","0","0","12","2","0","3","3"
"多摩小平","0","0","0","0","0","0","0","0","0","1","2"
"島しょ","0","0","0","0","0","0","0","0","0","0","1"
"合計","197","57","87","82","13","0","61","6","0","55","25"
