"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","28","6","4","1","1","1","9","1","0","",""
"区南部","1","0","0","0","0","0","0","0","0","",""
"区西南部","7","5","9","0","3","1","2","0","0","",""
"区西部","12","15","12","9","3","0","24","6","0","",""
"区西北部","17","2","2","2","0","0","3","3","0","",""
"区東北部","0","0","0","1","0","0","7","8","0","",""
"区東部","10","7","2","2","3","0","2","2","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","15","0","3","2","4","0","2","0","0","",""
"北多摩西部","14","1","1","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","6","0","0","",""
"北多摩北部","1","1","1","0","0","0","9","6","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","",""
"合計","105","37","34","17","14","2","64","26","0","",""
