"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","12","4","6","0","1","0","5","1","0","0","",""
"区南部","4","0","0","0","0","0","0","0","0","0","",""
"区西南部","4","6","2","2","0","0","0","0","0","0","",""
"区西部","10","14","10","8","3","0","4","2","0","0","",""
"区西北部","15","8","2","2","2","0","1","3","0","0","",""
"区東北部","1","0","0","0","1","0","7","8","0","0","",""
"区東部","14","3","3","0","1","0","0","0","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","7","2","1","0","0","0","0","0","0","0","",""
"北多摩西部","16","0","2","2","1","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","16","7","0","0","",""
"北多摩北部","0","0","0","0","1","0","0","2","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","83","37","26","14","10","0","33","23","0","0","",""
