"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","薬剤耐性アシネトバクター感染症","STD定点","基幹定点"
"区中央部","29","55","15","22","0","3","5","0","0","0","",""
"区南部","13","2","4","4","0","0","1","1","0","0","",""
"区西南部","5","3","1","0","0","0","3","0","0","0","",""
"区西部","43","18","37","29","0","11","6","1","0","0","",""
"区西北部","16","5","3","7","0","0","4","2","2","0","",""
"区東北部","7","0","0","7","0","0","0","1","0","0","",""
"区東部","13","9","3","10","0","0","2","1","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","2","0","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","2","0","1","1","0","0","16","0","0","0","",""
"北多摩北部","0","0","0","0","0","0","0","1","0","0","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","",""
"合計","128","92","64","80","0","14","39","7","2","0","",""
