"","性器クラミジア感染症","性器ヘルペスウイルス感染症","尖圭コンジローマ","淋菌感染症","膣トリコモナス症","梅毒様疾患","メチシリン耐性黄色ブドウ球菌感染症","ペニシリン耐性肺炎球菌感染症","薬剤耐性緑膿菌感染症","STD定点","基幹定点"
"区中央部","20","10","14","11","0","0","3","0","0","",""
"区南部","1","3","1","0","0","0","0","0","0","",""
"区西南部","24","0","5","13","0","0","4","1","0","",""
"区西部","24","14","37","17","0","0","5","0","1","",""
"区西北部","19","5","4","11","0","0","3","0","0","",""
"区東北部","0","0","0","1","1","0","1","0","0","",""
"区東部","24","3","3","13","0","0","2","0","0","",""
"西多摩","0","0","0","0","0","0","0","0","0","",""
"南多摩","0","0","0","0","0","0","1","0","0","",""
"北多摩西部","0","0","0","0","0","0","0","0","0","",""
"北多摩南部","0","0","0","0","0","0","11","2","0","",""
"北多摩北部","0","0","0","0","0","0","0","0","0","",""
"島しょ","0","0","0","0","0","0","1","0","0","",""
"合計","112","35","64","66","1","0","31","3","1","",""
