"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","1","1","1","0","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","9","4","6","2","11","0","0","29","1","0","4","0","0","0","0","0","0","0","0","0"
"1歳","0","0","0","3","18","15","34","1","10","1","0","94","0","0","4","0","0","0","0","0","0","0","0","0"
"2歳","0","0","2","3","12","11","29","1","1","0","0","73","0","6","1","1","0","1","0","0","0","0","0","0"
"3歳","0","0","2","2","16","13","25","2","0","0","0","58","1","12","1","0","0","0","0","0","0","0","0","0"
"4歳","0","0","1","4","14","18","17","5","0","0","0","58","0","11","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","1","3","8","11","15","8","0","0","0","37","1","14","2","0","0","1","0","0","0","0","0","0"
"6歳","0","0","1","4","11","5","7","3","0","0","0","14","0","5","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","1","2","6","1","3","3","0","0","0","12","0","5","1","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","4","9","1","0","2","0","0","0","2","0","5","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","0","2","7","1","0","2","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","0","2","6","1","2","1","0","0","0","2","1","1","1","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","11","20","0","3","1","0","0","0","10","1","2","0","0","0","3","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","2"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","9","40","141","82","142","31","24","1","0","396","6","61","16","1","0","12","0","0","0","0","0","2"
