"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)"
"〜5ヶ月","0","0","0","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","1","1","1","1","34","5","2","0","21","0","1","0","3","0","0","0","0","0","0","0"
"1歳","2","3","7","5","59","10","4","3","20","0","0","0","1","0","0","0","0","0","0","0"
"2歳","2","0","3","5","34","15","2","2","4","0","0","2","1","1","0","0","0","0","0","0"
"3歳","4","0","6","8","37","12","0","1","1","0","0","10","2","0","0","0","0","0","0","0"
"4歳","2","0","2","18","30","9","1","1","1","0","1","12","0","0","0","0","0","0","1","0"
"5歳","4","0","1","16","31","5","0","6","0","0","0","9","0","0","0","0","0","0","0","0"
"6歳","3","0","1","15","21","6","0","2","0","0","0","8","0","0","0","0","0","0","0","0"
"7歳","6","0","0","12","13","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0"
"8歳","2","0","3","7","12","2","1","3","0","0","0","4","0","0","0","0","0","0","0","0"
"9歳","6","0","0","4","13","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0"
"10〜14歳","18","0","0","17","47","2","1","1","0","0","0","2","0","0","0","0","0","0","1","0"
"15〜19歳","6","0","0","1","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","4","0","1","17","60","1","0","0","0","0","1","1","1","0","0","2","0","0","0","0"
"30〜39歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0"
"40〜49歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","69","4","25","126","407","70","11","20","48","1","3","62","8","1","1","7","0","0","3","0"
