"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","1","0","0","22","1","0","0","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","8","5","0","2","90","5","0","0","43","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1歳","33","4","3","7","216","19","0","1","45","0","2","0","4","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"2歳","29","2","4","10","122","15","0","4","7","0","2","0","2","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"3歳","58","0","2","30","115","18","0","5","1","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","70","0","3","36","92","16","1","10","0","0","0","8","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"5歳","85","0","1","57","66","12","0","11","1","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","126","0","0","53","44","4","0","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","137","0","1","25","57","5","0","7","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","103","0","1","31","47","6","0","8","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","65","0","0","13","38","1","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","146","0","0","28","68","1","0","5","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","43","0","0","1","13","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","44","0","1","19","150","0","0","3","0","5","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","1082","12","16","312","1140","103","1","78","102","7","5","24","15","3","0","6","2","0","6","0","0","0","0","0","0","0","0","0"
