"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","9","0","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","11","1","0","54","0","2","0","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","6","13","13","1","74","0","3","0","29","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","17","7","5","2","82","0","6","0","3","6","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","10","8","3","11","52","0","3","0","2","8","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"4歳","22","5","1","14","86","0","1","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","36","1","0","10","58","3","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","40","0","1","3","29","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","38","0","0","5","40","1","0","0","0","1","2","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","24","1","0","7","24","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","14","0","0","1","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","35","0","1","6","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","16","0","0","0","9","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","14","0","0","8","53","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","23","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0"
"50〜59歳","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","1"
"合計","349","55","25","69","617","9","16","2","47","27","3","10","1","0","7","0","0","0","4","0","3","1","1","1","0","0","2","1"
