"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","2","19","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0"
"〜1歳","6","41","12","1","1","30","1","5","0","7","10","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","12","50","13","17","2","71","1","26","0","18","19","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","4","45","4","15","8","49","1","19","0","5","14","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","12","33","2","9","13","37","1","17","1","2","14","0","0","1","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","8","32","1","13","13","25","1","7","0","1","11","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","9","39","1","12","21","19","1","7","0","1","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","18","36","0","5","20","22","2","3","1","0","2","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","7","39","0","5","11","23","1","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","8","36","1","5","7","12","4","2","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","8","54","1","2","6","8","2","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","35","260","1","2","12","25","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","28","173","0","0","2","7","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","32","396","1","2","9","30","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","17","372","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","34","471","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","15","448","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","10","255","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","5","185","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0"
"80歳以上","0","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","270","3112","40","88","125","362","17","92","3","35","86","0","6","2","0","15","0","1","0","0","0","4","0","0","0","0","0","4","0"
