"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","17","4","7","1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"〜1歳","62","14","7","1","1","38","1","0","4","5","0","0","0","0","0","0","0","0","1","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"1歳","202","15","10","2","4","89","5","3","7","11","1","1","1","1","0","0","0","0","0","0","0","4","0","0","0","1","0","0","3","1","0","0","0"
"2歳","189","10","1","3","7","70","1","0","17","4","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","1","0","0","0"
"3歳","187","7","2","2","13","56","5","0","34","0","0","0","1","0","0","0","0","0","2","0","0","4","0","0","0","0","0","0","4","0","0","0","0"
"4歳","204","7","1","0","19","42","3","1","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","170","3","0","1","19","55","3","2","44","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"6歳","179","7","0","0","12","53","4","4","44","1","0","1","0","1","0","0","0","0","1","0","0","2","0","2","2","0","0","0","0","0","0","0","0"
"7歳","156","8","1","4","28","34","15","0","30","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"8歳","124","3","1","0","17","38","2","1","23","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","125","3","0","0","8","25","12","0","15","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","416","34","2","2","28","68","10","2","18","0","0","2","0","0","0","0","0","0","4","0","0","3","1","0","0","0","0","0","3","0","0","0","1"
"15〜19歳","307","55","0","0","4","17","0","1","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"20〜29歳","393","81","0","0","17","118","2","0","7","1","0","0","0","0","0","1","0","0","1","0","0","1","3","0","0","0","0","0","1","0","0","0","3"
"30〜39歳","416","98","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"40〜49歳","546","134","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","2","5","0","0","0","0","0","2","0","1","0","4"
"50〜59歳","468","143","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","2","2","1","2","1","1","4","2","0","0","2"
"60〜69歳","227","77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","0","0","6","0","1","1","0"
"70〜79歳","136","55","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","14","9","2","2","3","1","0","10","3","1","1","8"
"80歳以上","100","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","24","2","0","6","2","0","31","8","2","0","22"
"合計","4624","815","32","16","177","705","63","14","291","24","2","5","4","3","2","17","0","0","14","0","0","94","47","8","5","13","4","1","74","15","6","2","41"
