"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","2","0","0","0","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","5","0","0","0","28","4","0","0","19","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"1歳","30","0","3","0","59","15","2","1","8","0","0","0","0","2","4","0","0","0","0","0","0","0","0","0"
"2歳","36","0","1","1","44","9","1","1","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"3歳","53","0","1","3","35","10","1","0","1","0","0","0","0","6","1","0","0","0","0","0","0","0","0","0"
"4歳","50","0","1","5","45","8","0","2","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"5歳","46","0","0","7","33","7","1","0","0","0","0","0","1","6","0","0","0","0","0","0","0","0","0","0"
"6歳","35","0","1","6","46","5","0","4","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"7歳","35","0","0","5","39","2","0","1","0","0","0","0","0","7","0","0","0","1","0","0","0","0","0","0"
"8歳","38","0","0","0","28","1","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"9歳","35","0","1","2","24","2","1","1","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","84","0","0","2","48","2","1","2","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","15","0","0","0","18","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","34","0","0","1","64","1","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","1"
"30〜39歳","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"40〜49歳","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"60〜69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","588","0","8","32","517","68","7","13","30","0","1","3","1","45","8","0","0","7","0","0","0","0","0","1"
