"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","7","0","1","0","2","0","0","6","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","1","0","16","2","12","2","21","0","0","50","0","0","2","0","0","0","0","0","0","0","0"
"1歳","0","0","4","0","31","11","26","1","17","0","0","107","0","3","3","0","0","1","0","0","0","0","0"
"2歳","0","0","4","2","26","11","44","1","1","0","0","98","0","8","1","0","0","0","0","0","1","0","0"
"3歳","0","0","4","9","21","12","34","4","0","0","0","83","0","21","4","0","0","0","0","0","0","0","0"
"4歳","0","0","7","9","22","6","33","5","0","0","0","62","0","18","1","0","0","0","0","0","0","0","0"
"5歳","0","0","5","20","14","6","16","1","0","0","0","46","0","17","1","0","0","0","0","0","0","0","0"
"6歳","0","0","7","12","22","4","11","3","0","0","0","25","0","11","2","0","0","0","0","0","0","0","0"
"7歳","0","0","4","11","21","1","6","3","0","0","0","27","0","8","1","0","0","0","0","0","0","0","0"
"8歳","0","0","6","15","16","0","4","2","0","0","0","13","0","2","0","0","0","0","0","0","1","0","0"
"9歳","0","0","2","6","10","1","4","1","0","0","0","10","0","2","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","3","7","23","0","6","1","0","0","0","11","0","3","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","2","0","5","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","2","1","5","27","1","3","1","0","0","0","4","0","0","0","0","1","1","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","2","50","96","261","55","200","25","41","0","0","543","0","94","15","0","1","4","0","0","2","0","0"
