"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","14","1","2","17","3","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","2","21","5","2","128","5","2","0","30","0","3","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","15","38","20","6","348","28","10","0","33","0","3","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","15","8","9","13","254","21","5","0","5","0","2","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","15","7","12","22","268","35","7","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","13","3","16","50","239","57","3","0","0","0","1","2","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"5歳","38","0","4","43","243","24","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","31","0","9","54","206","26","3","1","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7歳","18","0","1","39","179","6","2","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"8歳","17","0","1","40","182","5","2","1","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"9歳","21","0","0","26","143","2","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"10〜14歳","88","0","2","57","415","5","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","34","2","0","2","127","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","47","0","3","10","335","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0"
"40〜49歳","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"70〜79歳","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","466","93","83","366","3084","218","43","3","70","0","10","18","11","1","0","13","2","0","8","0","2","0","0","0","0","0","2","0"
