"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","3","9","0","0","6","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","25","16","3","0","71","1","0","0","22","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"1歳","84","16","16","13","203","2","0","4","36","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","2","1"
"2歳","89","9","3","17","125","7","2","4","6","0","1","5","2","1","0","1","0","0","0","0","0","2","1","0","0","0","0","1","0"
"3歳","114","3","5","41","106","5","0","1","2","0","0","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"4歳","184","1","10","65","108","15","0","10","0","0","0","7","2","0","0","0","0","0","1","0","0","2","0","0","1","1","1","1","1"
"5歳","180","0","1","65","93","15","0","8","0","0","0","7","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"6歳","204","0","1","47","62","7","0","7","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","216","0","0","54","63","4","0","6","0","0","0","10","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0"
"8歳","179","0","2","45","50","1","0","7","0","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","128","0","0","33","50","3","1","11","0","0","0","8","0","0","0","0","0","0","2","0","0","1","1","0","1","0","1","0","1"
"10〜14歳","329","0","2","49","94","4","1","4","0","0","0","10","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","0"
"15〜19歳","93","0","0","3","45","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","102","0","2","7","113","0","0","0","0","1","0","1","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","139","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","160","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","37","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","2","0"
"70〜79歳","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"合計","2377","54","45","439","1189","70","4","62","67","1","1","66","6","1","0","12","0","0","8","1","1","18","2","0","3","2","2","14","3"
