"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","19","0","0","2","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","6","20","2","0","39","2","9","0","14","6","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","5","46","9","9","52","1","90","2","31","22","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","7","9","4","14","50","2","69","1","4","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","13","9","4","33","35","2","57","3","2","10","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"4歳","20","3","6","27","43","3","47","3","0","11","1","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
"5歳","6","0","10","34","41","4","26","6","0","14","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","22","0","1","36","28","6","18","3","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","29","0","1","21","30","6","10","1","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","23","0","1","16","25","5","10","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"9歳","14","0","0","18","24","3","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","35","1","0","28","40","4","8","1","1","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","7","0","0","5","12","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","5","0","0","4","39","0","0","0","0","10","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","1","0","0","0","0","0","1","0"
"40〜49歳","7","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","213","107","38","245","460","39","348","21","53","101","11","5","0","0","10","0","1","4","0","0","4","1","1","0","0","0","3","0"
