"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","5","10","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"〜1歳","9","25","2","0","1","32","0","0","0","6","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"1歳","45","30","10","7","7","72","1","2","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","81","17","5","4","22","51","1","0","0","3","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"3歳","88","17","0","7","30","65","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"4歳","121","18","1","4","53","69","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","167","28","0","2","54","58","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"6歳","237","27","0","7","64","74","5","2","1","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"7歳","336","14","0","3","45","60","6","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","309","18","0","0","45","64","5","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","379","19","0","2","37","38","4","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1"
"10〜14歳","1278","82","0","1","81","106","9","0","1","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"15〜19歳","287","63","0","0","6","18","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","108","102","0","0","13","78","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"30〜39歳","127","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2"
"40〜49歳","107","121","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"50〜59歳","31","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","2","0","5"
"60〜69歳","13","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","15","0","0","0","0","0","1","0","0","0","15"
"70〜79歳","6","74","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","30","0","0","0","0","0","1","0","3","0","27"
"80歳以上","5","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","30","1","0","0","0","0","1","0","4","0","26"
"合計","3739","1029","19","37","458","789","35","7","9","21","1","7","2","0","0","5","0","0","0","0","0","12","92","2","1","1","0","0","9","1","10","0","82"
