"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","5","7","870","12","0","0","14","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"〜1歳","26","2","*","15","0","4","30","1","1","1","6","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","107","5","5183","26","5","11","79","2","15","4","17","14","0","3","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"2歳","150","3","*","13","2","10","59","3","5","5","6","6","0","0","1","0","0","0","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"3歳","222","0","*","1","0","17","56","1","6","0","3","3","1","1","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"4歳","269","1","*","1","3","46","48","6","3","2","2","5","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"5歳","372","3","5068","1","1","33","44","2","4","5","1","1","1","0","1","0","0","0","0","0","0","0","2","1","0","0","0","0","0","2","0","0","0","1"
"6歳","417","5","*","1","2","38","50","2","0","4","0","9","0","0","1","0","0","0","0","0","0","0","3","0","0","0","1","0","0","2","1","0","0","0"
"7歳","454","8","*","1","3","45","44","0","0","2","0","2","1","0","0","0","1","0","0","2","0","0","4","0","0","0","0","0","0","4","0","0","0","0"
"8歳","366","7","*","0","1","31","40","2","0","1","0","0","2","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","3","0","0","0","0"
"9歳","321","7","*","0","1","26","41","2","2","1","0","0","0","0","0","0","0","0","0","1","0","1","2","0","1","1","0","0","0","1","0","0","0","0"
"10〜14歳","1324","40","3081","0","2","48","113","15","2","0","0","2","4","1","0","0","0","0","0","0","0","0","4","0","0","0","1","0","0","3","1","0","0","0"
"15〜19歳","413","18","1070","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","0"
"20〜29歳","188","37","631","0","0","13","51","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","124","20","538","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","176","28","612","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","89","23","483","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","3"
"60〜69歳","34","18","299","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","2"
"70〜79歳","17","16","208","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","0","0","0","0","0","3","0","1","1","4"
"80歳以上","7","14","114","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","10","0","0","0","0","0","1","0","1","0","9"
"合計","5081","262","18157","71","20","325","680","36","39","25","36","46","9","6","4","0","11","0","0","8","0","1","32","24","1","1","2","0","0","29","2","2","1","22"
