"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","0","0","0","9","2","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","0","2","0","24","19","0","0","45","0","0","3","2","0","2","0","0","0","0","0","0","0","0","0"
"1歳","0","0","3","2","46","28","4","0","31","0","0","1","2","1","2","1","0","0","0","0","0","1","0","0"
"2歳","0","0","8","4","48","41","2","2","2","0","0","3","1","3","3","0","0","1","0","0","0","1","0","0"
"3歳","0","0","3","6","51","40","3","4","0","0","0","1","0","6","0","0","0","0","0","0","0","0","0","0"
"4歳","0","0","3","11","42","19","4","7","0","0","0","1","0","3","1","0","0","0","0","0","0","0","0","0"
"5歳","0","0","0","16","18","12","3","7","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0"
"6歳","0","0","0","13","20","6","4","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"7歳","0","0","0","14","27","3","1","1","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","0"
"8歳","0","0","0","8","23","5","0","3","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","0","0","1","2","16","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","0","0","1","6","42","3","1","3","0","0","1","0","3","5","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","1","12","2","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","0","0","0","4","59","0","0","1","1","0","1","1","2","0","0","0","0","2","0","0","0","0","0","0"
"30〜39歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0"
"40〜49歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"50〜59歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"60〜69歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","0","0","21","87","437","180","22","34","81","0","3","11","13","30","9","1","1","15","0","0","0","2","0","0"
