"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん"
"〜5ヶ月","0","2","1","0","8","2","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"〜1歳","2","1","7","1","68","16","2","2","71","0","0","0","3","0","0","0","0","0","0","0","0","0","0"
"1歳","27","1","16","10","105","34","6","3","46","0","0","1","0","1","6","0","0","0","0","0","0","0","0"
"2歳","21","1","7","8","99","45","3","3","6","0","1","1","2","2","3","0","0","2","0","0","2","0","0"
"3歳","24","0","9","25","83","49","1","7","1","0","0","0","1","3","1","0","0","0","0","1","0","0","0"
"4歳","34","0","6","44","80","32","2","9","0","0","0","3","1","9","0","0","0","0","0","0","0","0","0"
"5歳","24","0","7","44","58","17","3","11","0","0","0","1","0","5","1","0","0","0","0","0","0","0","0"
"6歳","23","0","4","40","49","9","0","19","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"7歳","25","0","2","37","36","12","0","11","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0"
"8歳","19","0","0","36","36","3","0","5","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0"
"9歳","23","0","3","25","24","3","0","5","0","0","0","1","0","2","0","1","0","0","0","0","0","0","0"
"10〜14歳","53","0","2","37","43","4","0","6","0","0","0","2","2","4","1","0","0","0","0","0","0","0","0"
"15〜19歳","40","0","0","4","13","1","0","0","0","0","0","0","2","0","0","0","1","1","0","0","0","0","3"
"20〜29歳","50","1","1","35","98","2","0","2","0","0","0","3","1","2","1","0","1","5","0","0","0","0","9"
"30〜39歳","54","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","4"
"40〜49歳","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"50〜59歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"60〜69歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"70〜79歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"合計","461","6","65","346","800","229","17","83","129","0","1","12","12","36","15","1","2","28","0","1","3","0","16"
