"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","9","10","0","0","16","9","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"〜1歳","27","12","3","1","89","10","0","2","67","0","1","0","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","108","24","13","11","260","22","4","4","70","0","3","2","4","2","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"2歳","117","7","16","20","201","39","5","2","10","0","1","3","1","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0"
"3歳","145","2","5","51","185","41","2","2","2","0","0","5","2","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1"
"4歳","165","1","3","97","236","50","1","5","1","0","0","6","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0"
"5歳","164","2","3","105","216","33","0","5","0","0","2","4","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"6歳","142","0","3","90","183","17","1","1","1","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","108","0","0","57","131","9","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","117","1","1","57","133","8","1","1","0","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","97","0","3","42","87","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","375","0","2","62","290","4","0","1","0","0","0","5","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","137","0","0","2","73","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","149","0","1","27","427","1","0","1","0","0","0","0","1","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0"
"30〜39歳","245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0"
"50〜59歳","113","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","1","0"
"70〜79歳","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","2","0"
"80歳以上","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","1","0","0","7","1"
"合計","2611","59","53","622","2527","250","14","26","153","1","8","38","15","3","0","16","0","1","6","0","18","0","0","2","0","1","16","2"
