"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","47","1","0","14","1","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","0","76","9","0","118","8","8","2","62","0","2","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","3","73","17","1","275","17","29","0","88","0","5","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2歳","3","24","15","13","195","31","13","3","11","0","6","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","5","14","20","22","184","42","12","2","4","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","4","5","20","36","187","48","11","4","1","0","2","4","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"5歳","1","2","23","59","176","29","7","3","0","0","2","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","3","2","9","59","119","24","2","5","0","0","1","11","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"7歳","8","1","2","53","84","16","5","3","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8歳","1","0","2","34","65","8","2","2","0","0","0","4","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"9歳","4","1","2","30","51","5","1","1","0","0","0","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","4","0","4","61","158","4","3","6","0","0","0","4","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","0","0","0","2","43","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","1","0","4","16","171","1","2","1","0","0","1","1","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","1","2","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"80歳以上","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"合計","52","245","128","386","1840","235","95","34","168","0","23","44","13","8","0","10","1","3","12","1","0","0","0","0","0","0","0","0","0"
