"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","1","13","1","0","12","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","6","18","1","3","66","2","3","1","27","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"1歳","18","29","13","18","178","6","6","8","58","0","0","2","3","0","0","0","0","0","0","2","1","0","0","0","1","0","0","1"
"2歳","16","11","6","37","148","5","5","11","15","1","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"3歳","19","4","3","65","167","7","3","21","2","0","2","0","2","0","0","0","0","1","0","1","1","0","0","0","0","0","1","0"
"4歳","31","3","15","98","181","16","5","30","1","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","31","0","6","101","201","11","3","32","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"6歳","39","2","8","92","155","8","2","21","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"7歳","28","0","1","67","124","16","0","11","0","0","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"8歳","22","1","1","61","97","14","2","12","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"9歳","12","0","1","38","63","13","0","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","91","0","1","59","173","10","1","8","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"15〜19歳","32","0","0","7","26","2","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","40","0","2","43","184","1","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30〜39歳","41","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","39","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","1","0","0","0","0","0","1","0"
"50〜59歳","35","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","6","0","0","1","1","0","5","1"
"合計","525","81","59","689","1775","113","30","162","105","3","11","14","6","0","11","0","2","2","1","8","10","0","0","1","2","0","8","2"
