"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）"
"〜5ヶ月","0","30","38","1","0","9","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"〜1歳","5","59","64","6","1","66","0","18","0","16","49","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","13","79","111","14","9","137","2","33","0","32","180","0","4","2","0","2","0","0","0","0","0","1","1","0","0","0","0","0","0"
"2歳","27","55","62","14","6","106","1","33","0","8","149","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3歳","25","52","14","18","28","99","3","27","1","5","116","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","28","46","7","14","37","94","3","19","0","1","115","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5歳","36","48","4","22","50","94","4","19","0","1","94","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6歳","53","59","1","4","50","64","5","6","0","1","40","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7歳","47","48","1","3","44","52","3","6","0","0","32","4","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"8歳","32","57","1","5","31","45","3","2","0","0","20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","26","64","1","1","21","49","2","1","1","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10〜14歳","68","374","3","1","49","65","2","2","0","0","20","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15〜19歳","24","312","0","0","1","16","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20〜29歳","31","659","1","0","22","70","0","3","0","0","7","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"30〜39歳","28","598","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40〜49歳","37","635","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50〜59歳","7","683","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60〜69歳","9","341","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70〜79歳","3","251","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"80歳以上","1","165","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"合計","500","4615","308","103","349","966","28","170","2","65","840","15","21","4","0","14","0","0","0","0","0","4","1","0","0","0","0","3","0"
