"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","ＩＣＵ入室（インフルエンザ入院）","人工呼吸器の利用（インフルエンザ入院）","頭部ＣＴ検査（インフルエンザ入院）","頭部ＭＲＩ検査（インフルエンザ入院）","脳波検査	（インフルエンザ入院）","いずれにも該当せず（インフルエンザ入院）","頭部検査	（インフルエンザ入院）","ＩＣＵ入室（COVID-19入院）","人工呼吸器の利用（COVID-19入院）","いずれにも該当せず（COVID-19入院）"
"〜5ヶ月","17","8","2","5","0","20","2","0","0","0","0","0","1","0","0","0","1","0","0","0","0","4","3","0","0","0","0","0","4","0","1","0","2"
"〜1歳","48","15","1","16","1","105","0","4","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1歳","176","25","2","78","24","334","4","16","1","23","2","1","2","0","0","0","0","0","0","0","0","2","2","1","0","1","0","0","1","1","1","0","1"
"2歳","187","25","0","106","68","282","0","17","0","14","3","1","0","0","0","0","0","0","1","0","0","2","1","0","0","1","0","0","1","1","0","0","1"
"3歳","258","10","0","124","91","292","2","16","0","3","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4歳","332","9","0","103","148","262","4","16","1","2","0","0","0","0","0","1","0","0","0","0","0","5","0","0","0","0","0","0","5","0","0","0","0"
"5歳","347","12","0","90","173","242","4","9","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"6歳","355","11","0","81","208","228","2","4","6","0","0","0","1","1","0","1","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"7歳","385","10","0","46","190","205","12","3","1","0","1","1","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0"
"8歳","433","11","0","25","163","181","7","1","4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9歳","417","14","0","9","140","129","3","1","1","1","0","1","1","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","0","0"
"10〜14歳","1660","83","1","15","230","257","10","0","0","0","0","1","2","0","0","0","0","0","0","0","0","6","0","1","1","1","0","1","5","1","0","0","0"
"15〜19歳","560","68","0","1","14","55","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0"
"20〜29歳","564","193","0","12","60","232","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0"
"30〜39歳","496","153","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1"
"40〜49歳","601","200","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","3","3","1","0","0","0","0","2","0","0","0","3"
"50〜59歳","396","183","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","2","5","0","0","0","0","0","2","0","0","0","5"
"60〜69歳","144","134","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","6","14","0","0","0","0","0","6","0","1","0","13"
"70〜79歳","70","75","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","8","29","0","0","1","0","0","7","1","2","0","27"
"80歳以上","40","57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","65","0","0","1","0","0","10","1","7","1","58"
"合計","7486","1296","6","711","1510","2824","52","87","16","52","7","6","12","1","0","35","1","0","3","0","0","55","125","4","2","6","0","1","47","6","13","1","112"
