"疾病名","男性","女性","男女合計","定点数"
"インフルエンザ","5250","5245","10495","417"
"新型コロナウイルス感染症（COVID-19）","99","115","214","417"
"急性呼吸器感染症（ARI）","15076","14994","30070","417"
"RSウイルス感染症","32","25","57","263"
"咽頭結膜熱","34","28","62","263"
"Ａ群溶血性レンサ球菌咽頭炎","377","286","663","263"
"感染性胃腸炎","848","741","1589","263"
"水痘","53","40","93","263"
"手足口病","7","2","9","263"
"伝染性紅斑","10","10","20","263"
"突発性発しん","30","24","54","263"
"ヘルパンギーナ","1","4","5","263"
"流行性耳下腺炎","5","7","12","263"
"不明発しん症","5","8","13","263"
"川崎病","2","4","6","263"
"急性出血性結膜炎","0","0","0","39"
"流行性角結膜炎","9","6","15","39"
"細菌性髄膜炎","0","0","0","25"
"無菌性髄膜炎","0","0","0","25"
"マイコプラズマ肺炎","11","11","22","25"
"クラミジア肺炎(オウム病は除く)","0","0","0","25"
"感染性胃腸炎（ロタウイルス）","0","0","0","25"
"インフルエンザ入院","62","51","113","25"
"COVID-19入院","20","14","34","25"
