"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","0","0","0","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央","0","0","0","0","3","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"日本橋","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","2","0","0","0","5","5","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","8","0","0","2","39","3","0","0","2","0","0","0","0","2","0","0","0","1","0","0","0","0","0","1","","","","","",""
"文京","15","0","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","","","","","",""
"台東","18","0","0","4","13","5","0","5","1","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","0","0","0","16","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","7","0","0","2","15","2","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","11","0","0","1","21","3","0","1","1","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","0","0","1","10","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","9","0","0","3","23","3","0","0","1","0","0","0","0","5","0","0","0","1","0","0","0","0","0","0","","","","","",""
"世田谷","17","0","0","0","33","7","0","0","2","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","13","0","0","0","27","2","1","1","2","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","19","0","0","0","17","4","0","0","2","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","3","0","0","2","10","0","0","1","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"長崎","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","20","0","0","2","13","3","0","0","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","11","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","31","0","0","0","10","1","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","12","0","0","4","3","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","8","0","0","2","33","2","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","27","0","0","4","20","4","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","7","0","0","0","20","2","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"小岩","4","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","29","0","0","0","3","5","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"秋川","21","0","0","1","14","5","0","0","3","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","10","0","0","0","19","2","2","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩川","6","0","0","0","9","2","0","1","1","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","13","0","0","1","8","3","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","21","0","0","2","8","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"村山大和","24","0","0","2","6","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"府中小金井","10","0","0","3","2","3","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"狛江調布","2","0","0","1","14","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"三鷹武蔵野","7","0","0","0","0","2","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","19","0","0","0","13","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩東村山","12","0","0","0","19","2","1","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","4","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","431","0","0","39","481","97","7","23","36","0","0","1","6","74","2","0","0","6","0","0","0","0","0","1","","","","","",""
