"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","22","0","0","1","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","25","0","0","0","10","3","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","23","2","4","6","14","3","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","49","0","0","5","19","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"文京","33","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","52","0","0","5","10","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","39","0","0","7","9","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","51","0","0","0","23","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","48","0","1","6","28","5","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","44","0","0","2","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","132","0","4","15","55","5","0","0","4","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","60","0","0","4","16","4","0","1","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","40","0","0","4","27","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","87","0","0","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","110","0","0","6","24","2","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","30","0","0","0","7","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"北区","110","1","0","1","14","4","0","3","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","50","0","2","5","11","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","59","0","0","0","17","2","0","3","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","","","","","",""
"練馬区","153","0","0","5","14","3","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","34","0","0","1","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","83","2","0","6","12","7","0","5","5","0","0","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"江戸川","115","0","5","6","10","4","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","52","0","0","5","10","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","61","0","0","1","28","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","134","0","0","3","8","6","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","32","0","0","4","7","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","123","0","0","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","155","0","0","7","40","1","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","149","0","1","16","36","8","0","2","4","0","0","0","0","6","1","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2159","5","17","122","503","81","1","20","36","0","1","0","0","33","7","1","0","2","0","0","1","0","0","","","","","",""
