"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","4","0","0","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","6","0","0","1","10","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","10","1","2","12","63","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","13","1","0","0","44","3","2","0","0","0","0","0","0","0","0","2","0","0","1","0","","","","","",""
"文京","5","0","0","1","14","3","1","3","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"台東","5","0","0","4","31","4","2","1","0","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","2","0","0","2","29","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"江東区","31","0","0","18","83","1","0","1","3","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"品川区","17","0","0","5","59","2","1","0","0","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","2","0","0","2","24","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"大田区","26","0","2","8","95","6","1","7","0","0","0","1","1","0","0","0","0","0","0","0","","","","","",""
"世田谷","22","2","0","5","75","8","1","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","4","0","0","1","28","5","0","1","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"中野区","23","0","0","1","46","3","0","0","3","0","0","1","2","0","0","1","0","0","0","0","","","","","",""
"杉並","9","0","0","5","58","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"池袋","16","0","0","0","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","13","0","0","3","49","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","0","1","2","34","6","0","0","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","12","0","0","0","26","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","","","","","",""
"練馬区","29","1","0","9","18","5","0","0","3","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"足立","13","0","0","2","54","9","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","44","0","0","2","38","2","0","0","1","0","0","1","0","0","0","0","0","0","4","0","","","","","",""
"江戸川","43","1","7","58","55","8","0","0","1","0","1","0","0","0","0","1","0","0","0","0","","","","","",""
"八王子市","14","2","2","16","57","9","0","1","3","1","1","1","0","0","0","1","0","0","0","0","","","","","",""
"町田市","43","2","0","21","113","8","9","3","7","0","3","13","2","0","0","0","0","0","0","0","","","","","",""
"西多摩","11","0","2","4","24","5","5","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","31","4","0","8","21","4","2","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","7","0","1","1","27","8","1","0","0","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩府中","40","1","1","8","50","2","0","0","4","0","0","1","0","0","0","0","0","0","2","0","","","","","",""
"多摩小平","39","7","1","16","74","3","2","0","5","0","0","2","0","0","0","2","0","0","0","0","","","","","",""
"島しょ","1","0","0","0","4","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","540","22","19","216","1357","122","27","17","48","3","7","43","6","0","2","8","0","0","7","0","","","","","",""
