"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","22","0","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","21","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","105","3","1","5","32","7","0","3","1","2","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","79","0","2","8","12","1","0","1","1","0","0","0","0","0","0","1","0","0","3","0","0","","","","","",""
"文京","63","4","0","0","16","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","49","0","3","5","23","4","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","48","1","1","3","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","177","3","1","15","96","4","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","71","0","0","6","51","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","41","0","0","1","19","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","249","4","3","18","99","10","0","5","4","1","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","287","4","1","9","107","7","1","9","2","0","0","3","3","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","56","0","0","0","24","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","106","0","1","1","25","2","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","","","","","",""
"杉並","185","1","1","5","50","5","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","98","0","0","1","11","3","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","97","0","0","10","23","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","108","2","1","7","38","6","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","102","0","1","1","27","5","0","4","1","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","294","1","0","16","65","12","0","7","3","0","0","4","0","0","0","1","0","0","0","0","0","","","","","",""
"足立","239","1","3","13","82","12","0","3","5","2","0","2","0","1","0","1","0","0","0","0","0","","","","","",""
"葛飾区","185","0","0","10","30","7","0","9","1","0","0","0","0","0","0","0","0","0","3","0","0","","","","","",""
"江戸川","230","0","4","25","67","4","0","7","4","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","269","5","0","28","71","10","0","5","4","2","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","207","0","1","13","62","10","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","205","0","0","3","36","4","2","0","8","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"南多摩","200","4","3","9","44","11","0","2","3","0","0","1","1","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","300","2","1","19","58","8","0","4","5","0","0","5","2","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","472","3","3","18","96","14","0","5","9","2","0","3","1","0","0","0","0","0","3","0","0","","","","","",""
"多摩小平","360","8","4","33","85","21","0","9","8","0","0","3","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","44","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","4969","46","35","282","1373","191","4","93","74","10","2","36","13","2","0","5","0","0","10","0","0","","","","","",""
