"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","1","1","3","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","0","6","4","15","0","2","1","1","0","20","3","0","1","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","0","4","6","11","1","2","0","2","0","9","5","0","1","0","0","0","0","1","0","0","1","","","","","",""
"文京","0","0","2","3","4","2","0","0","1","0","2","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","0","4","27","0","1","1","4","0","3","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","0","0","0","8","3","0","2","5","0","3","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","5","6","47","6","3","0","1","2","16","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","5","8","31","2","1","1","1","0","13","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","4","7","0","1","2","4","0","10","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","0","1","11","21","49","9","2","3","9","2","22","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","1","0","4","23","30","14","3","11","7","0","50","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","1","2","4","3","1","1","2","2","0","2","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"中野区","0","0","2","2","20","2","2","1","1","0","8","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","0","0","2","2","39","1","1","1","1","0","4","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","3","1","4","3","0","0","1","0","3","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","1","4","10","1","1","0","3","0","10","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","0","0","2","5","8","0","4","0","3","0","3","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","0","1","9","1","3","1","7","0","11","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"練馬区","0","0","4","16","18","2","2","6","5","0","29","2","1","0","0","1","0","0","0","0","0","0","","","","","",""
"足立","0","0","4","28","29","4","17","0","7","0","32","9","0","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","1","4","19","3","3","1","3","0","13","2","0","0","0","0","0","0","0","1","0","0","","","","","",""
"江戸川","0","0","5","20","35","2","2","0","4","0","72","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","0","1","2","34","65","5","3","12","3","1","27","2","0","0","0","0","0","0","1","0","0","0","","","","","",""
"町田市","0","0","0","22","28","8","5","6","4","0","52","6","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","6","4","10","4","1","1","2","1","27","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","2","17","25","5","9","0","4","0","25","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","0","0","3","28","28","8","1","0","3","0","25","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","0","0","5","20","41","4","6","9","8","0","43","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","0","0","12","21","23","4","9","5","7","0","60","1","1","0","0","1","0","0","1","0","0","0","","","","","",""
"島しょ","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","3","94","315","649","96","85","66","104","6","595","53","21","3","0","6","0","0","3","1","0","1","","","","","",""
