"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","5","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","3","7","0","0","0","5","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","4","6","2","1","2","6","0","1","0","1","6","0","0","0","0","0","0","0","1","0","0","0","","","","","",""
"新宿区","4","16","3","1","1","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","2","7","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","2","7","3","1","2","11","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","4","15","3","0","3","2","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","1","8","2","0","1","26","1","2","3","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","3","5","0","2","4","12","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","11","0","0","2","10","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","6","24","0","3","15","61","1","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","22","40","0","3","3","54","2","0","0","1","1","0","0","0","1","3","0","0","0","0","0","1","","","","","",""
"渋谷区","1","11","0","0","0","7","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","5","16","4","0","6","25","1","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"杉並","15","15","0","0","4","29","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","2","25","0","2","3","7","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","7","21","1","3","3","28","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","6","5","3","2","2","22","0","1","0","3","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","3","35","1","4","0","17","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","11","40","2","4","9","25","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","4","22","2","7","2","39","0","3","0","4","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","7","10","1","0","6","22","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","9","25","5","6","7","32","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","4","19","1","3","3","66","0","3","0","5","3","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"町田市","1","10","0","0","3","27","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","2","14","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","2","14","0","1","5","13","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","10","19","1","1","10","25","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","21","41","3","6","4","39","2","0","0","7","4","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"多摩小平","17","24","5","6","15","54","7","4","0","5","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","180","517","42","58","115","686","19","26","4","55","31","3","7","1","1","5","0","0","1","0","0","1","","","","","",""
