"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","9","7","4","0","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","","","","","",""
"中央区","10","4","0","0","0","9","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","23","14","2","0","14","24","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","","","","",""
"新宿区","21","19","4","0","4","28","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"文京","34","12","0","0","4","10","2","0","5","0","0","0","0","0","0","0","0","1","0","0","0","0","0","","","","","",""
"台東","18","5","0","0","7","35","3","1","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","32","10","0","0","2","14","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","1","0","","","","","",""
"江東区","59","23","7","0","8","57","2","1","15","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","39","15","5","0","6","33","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","20","16","1","0","3","20","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","65","36","7","0","10","60","4","2","12","1","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"世田谷","64","42","0","1","17","43","3","0","6","0","1","0","0","1","0","2","0","0","0","0","0","0","2","","","","","",""
"渋谷区","9","8","1","0","1","13","1","0","3","1","0","0","0","0","0","0","0","0","0","0","0","1","2","","","","","",""
"中野区","50","20","0","0","12","35","1","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","32","23","1","1","7","30","1","1","11","3","0","0","0","1","0","0","0","0","2","0","0","3","2","","","","","",""
"池袋","32","18","0","1","4","27","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","48","21","5","0","11","17","0","4","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","32","19","20","1","8","46","1","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","45","37","0","0","12","36","0","0","10","0","0","0","0","0","0","0","0","0","1","0","0","0","2","","","","","",""
"練馬区","67","28","5","1","23","44","2","0","13","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"足立","66","46","5","5","9","57","2","1","10","2","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"葛飾区","29","12","2","0","5","25","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","2","2","","","","","",""
"江戸川","55","34","2","0","12","48","1","0","15","2","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"八王子市","99","60","3","2","15","61","1","0","19","2","0","0","0","0","0","0","0","0","0","0","0","0","10","","","","","",""
"町田市","38","12","0","0","6","17","1","0","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","39","41","0","1","2","16","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","2","3","","","","","",""
"南多摩","37","25","3","0","5","21","0","0","9","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩立川","66","34","1","1","18","26","1","0","17","0","0","0","0","0","0","1","0","0","1","0","0","0","2","","","","","",""
"多摩府中","172","68","4","0","29","82","4","0","22","3","0","2","2","0","0","1","0","0","1","0","0","2","5","","","","","",""
"多摩小平","84","51","3","5","24","85","2","0","33","2","0","0","0","0","0","0","0","0","1","0","0","5","4","","","","","",""
"島しょ","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"合計","1397","761","85","19","279","1024","40","11","284","27","1","3","3","2","0","11","1","1","6","0","0","18","42","","","","","",""
