"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","31","4","102","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","1","","","","","","",""
"中央区","37","3","166","0","2","0","10","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"みなと","195","3","455","0","2","4","16","0","2","0","2","1","0","0","0","0","0","0","0","0","0","0","3","3","","","","","","",""
"新宿区","130","1","279","1","0","2","10","1","1","0","1","0","1","0","0","0","1","0","0","3","0","0","1","1","","","","","","",""
"文京","166","1","482","0","0","2","4","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","","","","","","",""
"台東","144","0","307","0","0","3","31","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"墨田区","110","6","195","1","0","1","8","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","5","0","","","","","","",""
"江東区","260","8","571","1","0","5","34","0","5","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"品川区","142","6","352","1","0","4","23","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"目黒区","99","4","250","0","0","2","6","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"大田区","412","24","839","0","1","19","64","0","0","1","1","1","0","1","1","0","1","0","0","0","0","0","0","0","","","","","","",""
"世田谷","501","12","1117","0","0","10","51","0","0","0","1","0","0","0","0","0","3","0","1","0","0","0","7","0","","","","","","",""
"渋谷区","114","10","234","0","1","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"中野区","267","0","875","0","1","7","16","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"杉並","267","9","596","0","0","2","24","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","11","0","","","","","","",""
"池袋","199","3","448","1","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北区","275","6","532","2","0","7","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"荒川区","200","1","384","2","1","1","13","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","","",""
"板橋区","354","6","756","2","0","6","14","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","1","0","","","","","","",""
"練馬区","509","10","1056","0","0","17","33","2","0","2","3","1","0","0","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"足立","269","7","1007","7","3","9","19","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"葛飾区","265","5","487","0","0","4","17","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","0","","","","","","",""
"江戸川","382","16","1042","2","1","28","27","3","0","1","4","1","1","1","0","0","1","0","0","0","0","0","0","0","","","","","","",""
"八王子市","661","10","1690","4","0","24","26","4","0","3","2","0","1","0","0","0","1","0","0","0","0","0","0","2","","","","","","",""
"町田市","613","7","1222","2","0","39","38","1","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"西多摩","210","7","396","0","1","8","8","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","","","","","","",""
"南多摩","329","10","717","1","0","7","18","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"多摩立川","455","10","830","2","0","14","13","1","1","2","1","1","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","",""
"多摩府中","780","26","1769","0","0","23","62","3","2","4","0","1","1","2","0","0","0","0","0","0","0","0","15","1","","","","","","",""
"多摩小平","614","10","1476","2","2","21","45","10","0","3","1","0","0","0","0","0","0","0","1","0","0","0","13","2","","","","","","",""
"島しょ","29","8","44","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","9019","233","20676","31","15","269","673","31","17","22","28","11","4","7","3","1","9","0","2","8","0","1","70","12","","","","","","",""
