"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","0","0","2","1","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","","","","","",""
"中央区","0","0","0","1","3","0","0","2","2","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","0","0","2","10","8","4","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","0","0","0","1","11","2","0","0","0","0","0","0","0","2","0","0","1","1","0","0","0","0","0","","","","","",""
"文京","0","0","0","0","2","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","0","0","4","8","8","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","0","0","0","0","7","1","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","0","0","3","2","13","2","0","5","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","0","0","0","10","31","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","2","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","11","1","1","13","46","12","0","5","6","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","1","0","1","3","25","12","0","0","3","0","0","0","0","5","1","0","0","0","0","0","0","0","0","","","","","",""
"渋谷区","0","0","0","0","18","1","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"中野区","0","0","0","4","20","4","0","0","2","0","0","0","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"杉並","5","0","0","5","39","4","0","1","1","0","0","0","0","1","2","0","0","0","0","0","0","0","0","","","","","",""
"池袋","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","0","0","0","7","12","1","0","2","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","2","0","1","2","4","2","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","0","0","1","0","23","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","3","0","0","","","","","",""
"練馬区","5","0","0","5","11","3","0","2","1","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","1","0","0","1","13","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","0","0","0","5","8","12","0","2","3","0","0","0","0","4","1","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","0","0","3","4","9","2","0","4","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子","1","0","0","4","10","4","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","","","","","",""
"町田市","0","0","0","9","17","5","0","2","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","0","9","2","0","5","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","0","0","2","12","2","0","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","2","0","1","2","5","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","1","0","0","1","29","10","0","0","6","0","0","1","0","4","0","0","0","1","0","0","0","0","0","","","","","",""
"多摩小平","3","0","2","7","36","3","2","0","6","0","0","0","0","10","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","7","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","32","1","19","117","437","100","5","33","45","1","0","5","0","67","8","1","1","2","0","0","3","0","0","","","","","",""
