"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","17","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","16","0","0","0","2","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"みなと","29","5","0","2","5","1","3","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","79","1","0","3","3","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","","","","","",""
"文京","57","0","0","0","2","1","1","0","0","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"台東","45","0","0","1","7","1","3","2","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","74","0","0","0","3","1","2","1","4","0","0","2","0","0","0","1","0","0","0","0","","","","","",""
"江東区","87","0","0","6","7","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"品川区","108","1","0","0","11","0","3","1","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","216","3","0","2","39","3","0","0","1","1","0","1","0","0","0","1","0","0","0","0","","","","","",""
"世田谷","198","2","0","1","11","2","0","0","0","0","0","0","1","0","0","1","0","0","0","0","","","","","",""
"渋谷区","28","0","0","0","6","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"中野区","77","0","0","3","20","2","1","0","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"杉並","138","0","0","2","21","2","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","52","0","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","97","0","0","1","3","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","67","0","0","2","8","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"練馬区","152","0","0","1","7","1","2","0","3","0","0","3","0","0","0","0","0","0","0","0","","","","","",""
"足立","96","0","0","1","8","0","2","0","1","0","1","1","0","0","1","0","0","0","0","0","","","","","",""
"葛飾区","154","0","0","1","7","0","5","1","2","0","2","5","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","278","3","0","0","5","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","244","3","1","15","14","5","2","0","3","0","0","4","4","0","0","0","0","0","0","0","","","","","",""
"町田市","223","0","0","5","34","17","0","1","1","0","1","7","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","212","0","0","0","4","2","0","0","1","0","0","5","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","166","1","0","0","4","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","102","0","0","0","4","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","261","0","0","5","3","0","1","2","0","0","0","4","0","0","0","1","0","0","0","0","","","","","",""
"多摩小平","250","3","5","3","25","2","0","0","5","0","2","1","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","3583","22","6","54","269","50","30","9","46","1","6","47","8","0","1","7","0","0","0","0","","","","","",""
