"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","2","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"中央区","6","1","0","5","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","3","1","4","5","15","2","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","1","1","0","7","19","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"文京","0","0","0","2","14","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"台東","1","0","1","8","15","0","1","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","0","0","21","10","0","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","5","0","0","17","47","5","0","3","13","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","2","0","1","11","29","3","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"目黒区","0","0","0","7","18","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","15","1","4","27","76","4","1","16","6","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","9","0","1","12","68","4","2","2","2","0","0","2","0","1","0","0","0","0","0","0","1","0","","","","","",""
"渋谷区","4","0","0","1","7","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","","","","","",""
"中野区","4","0","0","7","15","1","0","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","9","0","1","9","33","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"池袋","3","0","0","3","9","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北区","7","4","0","3","20","0","0","6","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","5","0","1","6","27","0","1","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","6","1","0","2","17","1","0","10","0","0","0","1","1","1","0","1","0","0","0","0","0","0","","","","","",""
"練馬区","14","0","1","13","26","6","0","6","4","0","0","2","0","1","0","0","0","0","0","0","0","0","","","","","",""
"足立","18","0","0","17","52","3","2","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","","","","","",""
"葛飾区","6","0","0","5","21","3","0","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"江戸川","16","0","2","10","38","1","0","3","5","1","0","4","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","6","0","2","28","69","7","1","8","5","0","0","6","1","0","0","0","0","0","0","0","0","1","","","","","",""
"町田市","1","0","1","16","38","1","1","4","5","0","0","1","1","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","15","0","2","4","28","1","0","3","2","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","4","0","0","11","33","1","0","5","4","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","11","0","0","21","41","2","0","5","3","0","0","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","14","1","3","25","82","3","5","10","13","0","0","1","0","1","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","19","3","4","23","55","12","0","5","6","0","0","1","4","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","219","13","28","326","932","66","16","114","89","1","1","29","11","4","0","5","0","0","0","0","2","4","","","","","",""
