"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","23","6","0","1","7","0","2","0","0","1","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"中央区","5","21","3","0","1","2","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","6","38","4","4","4","2","3","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"新宿区","6","67","3","10","3","12","0","0","0","0","2","0","0","0","0","2","0","0","1","0","0","0","","","","","",""
"文京","2","20","2","2","2","6","1","0","0","1","6","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"台東","3","28","1","0","2","14","0","5","0","1","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","5","148","1","0","4","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"江東区","16","54","4","2","4","17","0","3","0","2","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"品川区","3","45","3","1","8","15","1","4","0","0","7","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","11","42","3","7","3","12","0","1","0","0","2","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","32","111","9","7","11","28","1","2","0","1","10","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","3","134","8","9","12","33","1","4","0","0","10","0","1","0","0","0","2","0","0","0","0","0","","","","","",""
"渋谷区","9","18","3","0","1","4","0","3","0","0","1","0","0","0","0","2","0","0","0","0","0","0","","","","","",""
"中野区","11","60","2","0","5","15","0","3","0","2","3","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","4","94","1","1","2","13","0","4","0","0","3","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"池袋","3","63","0","1","0","1","0","0","0","1","4","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北区","24","71","0","2","4","8","1","10","0","1","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","3","39","6","1","3","9","0","2","0","2","13","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","7","83","8","0","8","11","0","3","0","1","3","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"練馬区","8","92","8","4","6","16","0","4","0","5","24","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","3","115","8","0","2","25","0","2","0","2","13","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","5","52","0","0","1","21","0","2","0","0","12","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"江戸川","7","106","2","20","10","18","4","3","0","4","10","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","17","107","5","1","11","49","0","2","0","3","17","0","0","0","0","3","0","0","0","0","0","0","","","","","",""
"町田市","3","63","3","0","5","19","0","3","0","0","6","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","3","53","0","1","3","4","1","2","0","0","8","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","4","70","13","2","1","9","0","6","0","1","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","6","95","2","0","13","32","1","4","0","1","23","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩府中","17","190","5","1","21","33","2","14","0","2","25","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩小平","21","119","8","4","26","30","1","6","0","3","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","1","30","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","248","2251","121","80","177","465","17","99","0","33","265","4","7","1","0","9","2","1","1","0","0","0","","","","","",""
