"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","3","4","4","0","1","6","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"中央区","0","5","0","0","0","15","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"みなと","10","2","2","1","7","32","0","0","3","1","0","1","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"新宿区","3","11","2","0","6","35","2","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"文京","1","5","0","0","3","25","4","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","","","","","",""
"台東","5","5","0","0","7","23","0","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"墨田区","4","9","3","0","7","11","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"江東区","14","6","0","0","15","51","2","0","2","1","0","0","2","0","0","1","0","0","0","0","0","0","0","","","","","",""
"品川区","13","3","5","0","6","21","4","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"目黒区","4","2","4","1","11","13","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"大田区","30","14","4","2","17","83","4","2","5","3","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"世田谷","33","21","1","0","21","49","6","0","0","0","0","0","1","0","0","3","1","0","0","0","2","0","2","","","","","",""
"渋谷区","3","4","0","0","7","13","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","1","2","","","","","",""
"中野区","7","14","1","1","22","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"杉並","9","13","3","0","6","23","2","1","3","0","0","0","0","1","0","0","0","0","0","0","0","0","4","","","","","",""
"池袋","7","4","3","0","9","22","3","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","","","","","",""
"北区","19","9","6","0","10","34","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"荒川区","23","13","1","1","5","26","3","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"板橋区","10","15","1","1","10","40","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","","","","","",""
"練馬区","14","23","3","0","29","48","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"足立","13","25","5","4","11","37","2","0","6","1","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"葛飾区","12","4","0","0","9","36","4","1","5","0","0","0","0","0","0","0","0","0","0","0","4","0","2","","","","","",""
"江戸川","17","14","6","2","12","62","0","0","9","2","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"八王子市","22","27","4","0","9","48","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"町田市","7","13","0","0","8","31","2","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","18","11","0","0","2","28","0","0","4","0","0","0","0","0","0","0","1","0","0","0","0","0","1","","","","","",""
"南多摩","7","16","0","0","6","31","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"多摩立川","11","14","1","0","22","32","1","0","9","1","0","3","1","0","0","1","0","0","0","0","0","0","0","","","","","",""
"多摩府中","37","34","4","1","48","80","22","0","8","4","0","0","1","0","0","1","0","0","1","0","1","0","5","","","","","",""
"多摩小平","31","41","4","0","28","74","4","0","14","2","0","1","0","0","0","0","0","0","0","0","1","0","4","","","","","",""
"島しょ","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","387","382","67","14","354","1071","73","9","116","23","1","8","7","3","0","9","2","0","2","0","10","1","33","","","","","",""
