"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","7","2","0","0","2","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","0","2","2","0"
"中央区","7","7","0","7","37","2","0","1","2","0","0","0","0","1","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","61","12","11","6","59","2","3","9","3","0","0","0","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","30","20","1","9","37","3","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","12","8","2","2","2","0"
"文京","39","0","1","5","19","3","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","22","6","1","8","74","4","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","26","8","1","3","40","1","0","1","5","0","1","8","1","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","121","21","5","27","158","5","2","11","4","0","4","0","1","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","47","3","1","18","73","4","5","4","5","0","0","0","1","0","0","1","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","11","4","0","9","49","6","4","2","5","0","0","1","3","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","118","22","3","25","173","20","1","9","5","1","1","1","0","0","0","0","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","72","18","37","83","166","13","11","3","6","0","0","2","1","0","0","2","1","0","0","0","0","1","25","16","2","2","2","0"
"渋谷区","8","2","0","2","37","0","0","0","1","0","0","1","0","0","0","1","0","0","2","0","1","1","6","4","1","1","1","0"
"中野区","28","3","0","6","78","10","8","5","6","0","1","1","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","25","6","3","10","83","8","4","1","5","0","0","1","1","1","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","27","3","1","5","10","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","22","5","0","3","41","6","4","7","3","0","0","1","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","77","12","0","6","48","15","2","9","2","0","0","1","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","36","0","4","29","34","5","1","2","4","0","0","1","1","0","0","0","0","0","1","0","0","5","16","10","2","1","1","0"
"練馬区","37","11","2","31","82","11","2","9","5","0","0","1","0","0","0","1","0","0","0","0","0","0","18","12","2","0","0","0"
"足立","52","11","4","30","144","21","4","1","8","0","1","11","0","0","0","1","0","0","0","0","0","0","20","13","2","0","0","0"
"葛飾区","48","1","0","15","102","10","9","8","6","0","3","2","0","2","0","1","0","0","1","0","0","1","13","8","1","1","1","0"
"江戸川","89","18","15","49","120","4","10","11","7","0","0","8","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","49","26","3","67","144","16","1","12","4","0","0","4","0","0","0","1","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","51","4","0","76","78","7","2","11","5","0","0","2","5","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","104","5","1","11","32","3","2","1","4","0","1","4","0","0","0","0","0","0","1","0","0","0","14","8","1","1","1","0"
"南多摩","65","14","1","33","51","9","5","8","3","0","2","5","0","0","0","1","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","52","26","1","63","70","7","1","22","11","0","0","9","0","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","85","29","5","71","173","28","8","4","15","0","1","4","1","0","0","2","0","0","1","0","0","0","32","21","3","3","3","0"
"多摩小平","81","41","12","79","94","23","6","18","11","0","7","2","0","0","0","1","0","0","3","0","0","0","23","15","2","2","2","0"
"島しょ","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","1497","340","113","786","2308","249","99","176","141","1","22","73","15","5","0","14","1","0","10","0","1","9","414","263","39","25","25","0"
