"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","18","0","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","3","0","2","2","0"
"中央区","15","0","1","5","15","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","28","0","1","7","27","1","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","9","6","0","1","1","0"
"新宿区","32","5","3","22","32","0","1","0","2","0","0","0","1","0","0","0","1","0","0","0","0","12","8","1","2","2","0"
"文京","18","0","1","9","24","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","2","7","4","1","1","1","0"
"台東","15","1","3","15","40","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","17","1","0","5","16","2","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","8","5","1","1","1","0"
"江東区","39","5","1","15","80","3","0","0","6","0","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","23","5","0","12","31","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","23","2","0","11","37","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","32","6","3","30","76","8","4","0","6","0","1","1","0","0","1","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","88","10","3","36","96","7","1","4","4","0","0","3","0","0","0","0","0","0","0","1","0","24","15","2","2","2","0"
"渋谷区","9","1","0","2","15","3","1","1","2","0","0","0","0","0","0","0","0","0","0","4","0","7","4","1","1","1","0"
"中野区","30","0","1","19","26","1","1","1","3","0","2","1","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","36","0","0","13","41","1","0","0","3","0","1","0","1","0","0","0","0","0","0","0","0","16","11","1","2","2","0"
"池袋","20","3","0","7","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","4","1","1","1","0"
"北区","38","1","0","4","25","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","39","2","0","12","16","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","35","0","2","10","26","0","0","1","3","0","1","0","0","1","2","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","46","4","1","42","46","2","1","2","9","0","2","0","1","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","72","7","0","12","58","5","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","18","13","2","0","0","0"
"葛飾区","37","0","0","11","33","0","1","0","2","1","0","0","0","0","0","0","0","0","0","4","3","13","8","1","1","1","0"
"江戸川","35","2","3","31","50","6","0","2","8","0","0","1","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","72","5","4","34","94","2","4","1","5","0","2","1","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","47","0","0","22","49","3","1","0","7","0","0","1","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"西多摩","55","1","1","12","12","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","43","4","3","18","30","5","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","63","1","1","41","27","2","0","1","5","0","0","0","0","0","0","0","0","0","0","0","1","21","14","2","1","1","0"
"多摩府中","98","4","5","58","89","6","1","3","17","0","1","0","1","0","1","0","0","0","1","2","1","33","21","3","3","3","0"
"多摩小平","80","7","5","72","51","4","1","4","6","0","0","0","0","0","0","0","0","0","0","0","0","23","15","2","2","2","0"
"島しょ","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","1204","77","42","588","1179","65","17","24","119","1","14","9","4","1","6","0","1","1","1","12","8","413","262","38","25","25","0"
