"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","0","22","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","3","0","2","2","0"
"中央区","4","23","0","0","0","23","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","4","32","6","1","17","12","7","3","0","0","7","0","0","0","0","0","0","0","1","0","0","0","9","6","0","1","1","0"
"新宿区","15","58","17","8","4","31","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","11","7","1","2","2","0"
"文京","8","33","2","2","3","19","2","1","0","3","4","3","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"台東","8","29","5","3","9","48","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","9","50","12","2","2","18","0","4","0","2","3","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"江東区","18","45","9","1","14","62","2","5","0","2","12","1","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","41","22","3","6","14","31","0","2","0","3","16","0","0","0","0","3","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","20","39","1","1","11","39","0","2","0","2","9","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","29","67","17","11","37","130","1","1","0","5","11","0","2","0","0","0","0","0","0","0","0","0","21","13","2","1","1","0"
"世田谷","36","120","12","3","35","136","9","6","0","5","27","14","3","0","0","5","0","0","0","0","0","2","25","16","2","2","2","0"
"渋谷区","18","13","2","0","3","21","2","1","1","2","0","0","0","0","0","0","0","0","0","0","0","0","7","4","1","1","1","0"
"中野区","49","50","10","4","29","42","3","6","0","4","5","2","0","0","0","1","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","19","40","2","2","8","71","0","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","17","11","1","2","2","0"
"池袋","11","62","6","4","3","7","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","0"
"北区","13","70","3","6","14","71","1","7","0","2","9","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","10","54","30","5","6","42","1","2","0","2","4","0","0","0","0","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","39","68","6","2","10","74","0","1","0","0","3","0","1","0","4","0","0","0","0","0","0","0","16","10","2","1","1","0"
"練馬区","93","71","28","5","27","90","0","3","1","7","13","0","4","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","3","60","8","15","12","132","0","11","1","2","27","1","0","0","0","1","0","0","0","0","0","0","19","13","2","0","0","0"
"葛飾区","12","38","7","0","13","78","1","8","0","2","23","0","0","0","0","0","0","0","0","0","0","0","13","8","1","1","1","0"
"江戸川","9","66","29","6","21","77","1","2","0","0","46","1","0","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","51","64","5","16","26","196","1","6","1","7","19","1","1","0","0","0","0","0","0","0","0","0","18","11","2","1","1","0"
"町田市","12","37","7","0","12","74","2","1","0","5","4","0","1","0","0","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","19","29","0","3","7","17","1","1","0","4","3","0","0","0","0","0","0","0","0","0","0","0","14","8","1","1","1","0"
"南多摩","8","48","4","7","18","44","0","2","0","4","3","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","15","51","14","8","21","57","1","3","0","1","7","1","1","0","0","0","0","0","0","0","0","0","21","14","2","1","1","0"
"多摩府中","150","171","21","12","41","147","2","2","2","15","18","0","1","2","0","1","0","0","0","0","0","0","33","21","3","3","3","0"
"多摩小平","61","106","22","13","24","163","8","7","1","15","57","0","0","0","0","0","0","0","0","0","0","0","22","14","2","2","2","0"
"島しょ","1","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0"
"合計","785","1649","293","147","441","1955","46","95","7","97","336","24","15","4","4","11","0","1","1","0","0","2","416","262","38","25","25","0"
