"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","14","29","1","0","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","3","0","2","2","2"
"中央区","20","6","0","0","2","8","1","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","5","3","1","0","0","0"
"みなと","45","25","9","0","18","19","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","6","9","6","0","1","1","1"
"新宿区","58","31","8","1","21","21","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","12","8","2","2","2","2"
"文京","46","21","3","1","10","18","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","7","4","1","1","1","1"
"台東","59","12","1","0","37","40","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","0","0","0"
"墨田区","64","50","2","4","3","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","9","8","5","1","1","1","1"
"江東区","197","23","8","1","20","56","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","14","9","1","0","0","0"
"品川区","113","27","0","1","8","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","8","1","0","0","0"
"目黒区","48","20","3","0","9","16","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","0","0","0"
"大田区","186","61","6","1","23","104","1","1","1","4","0","1","0","0","0","0","0","0","0","0","0","0","5","21","13","2","1","1","1"
"世田谷","195","59","13","2","40","67","2","0","0","9","0","2","0","0","0","3","0","0","0","0","0","2","11","24","16","2","2","2","2"
"渋谷区","35","6","0","0","2","20","1","0","0","2","0","0","0","0","0","2","0","0","0","0","0","1","4","7","4","1","1","1","1"
"中野区","142","31","1","1","40","26","4","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","10","6","1","0","0","0"
"杉並","167","49","7","2","9","29","10","0","0","1","0","0","0","1","0","0","0","0","0","0","0","2","5","17","11","1","2","2","2"
"池袋","78","47","1","2","3","14","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","8","5","1","1","1","1"
"北区","129","28","4","3","29","23","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","11","7","1","0","0","0"
"荒川区","77","36","2","0","13","33","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","7","4","1","0","0","0"
"板橋区","186","40","2","0","18","25","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","2","16","10","2","1","1","1"
"練馬区","210","68","6","0","42","23","6","0","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","21","13","2","0","0","0"
"足立","209","56","11","7","48","40","1","0","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"葛飾区","102","37","1","1","40","18","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","3","8","13","8","1","1","1","1"
"江戸川","258","78","19","2","43","55","3","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","19","12","2","0","0","0"
"八王子市","475","71","5","1","32","77","10","0","0","3","0","0","1","0","0","1","0","0","0","0","0","0","6","18","11","2","1","1","1"
"町田市","219","33","2","0","30","43","6","1","1","2","0","1","0","0","0","1","0","0","0","0","0","0","0","13","8","1","0","0","0"
"西多摩","163","35","2","0","13","29","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","6","14","8","1","1","1","1"
"南多摩","244","39","1","1","10","25","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","14","9","1","0","0","0"
"多摩立川","251","66","11","2","44","40","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","21","14","2","1","1","1"
"多摩府中","500","107","10","4","66","110","1","0","2","10","1","2","1","0","0","0","1","0","0","0","0","6","15","33","21","3","3","3","3"
"多摩小平","284","79","2","7","55","86","1","0","0","3","0","0","2","1","0","0","0","0","0","0","0","4","10","22","14","2","2","2","2"
"島しょ","3","4","0","0","6","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1"
"合計","4777","1274","141","44","741","1096","56","4","11","64","2","10","6","4","0","10","1","0","0","1","0","21","103","416","262","39","25","25","25"
