"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"千代田","97","2","183","2","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","3","1","4","4","3","0","2","2","2"
"中央区","99","2","215","0","0","2","20","2","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","5","5","3","1","0","0","0"
"みなと","188","5","537","2","0","6","16","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","9","9","6","0","1","1","1"
"新宿区","185","7","400","4","2","6","18","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","3","2","12","12","8","2","2","2","2"
"文京","287","3","788","0","2","3","22","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","7","7","4","1","1","1","1"
"台東","223","1","577","1","2","7","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","0","0","0","0"
"墨田区","199","6","328","0","0","0","21","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","3","1","8","8","5","1","1","1","1"
"江東区","522","5","1211","3","0","16","79","3","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"品川区","226","4","522","0","0","10","17","4","0","3","2","0","0","0","0","0","3","0","0","0","0","0","0","0","12","12","8","1","0","0","0"
"目黒区","152","2","379","2","0","8","21","1","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","8","8","5","1","0","0","0"
"大田区","627","13","1286","1","5","40","101","2","0","0","3","0","0","0","0","0","1","0","1","0","0","0","3","1","21","21","13","2","1","1","1"
"世田谷","641","16","1704","1","2","34","110","1","1","1","2","0","1","0","0","0","0","0","0","1","0","0","13","13","25","25","16","2","2","2","2"
"渋谷区","196","5","272","0","0","0","14","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","6","0","7","7","4","1","1","1","1"
"中野区","419","5","1417","2","0","12","17","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","10","6","1","0","0","0"
"杉並","373","9","963","8","0","7","24","1","0","0","2","0","0","0","2","0","0","0","0","1","0","0","17","1","17","17","11","1","2","2","2"
"池袋","297","4","748","0","0","2","26","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","8","8","5","1","1","1","1"
"北区","402","6","684","0","2","8","45","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","11","11","7","1","0","0","0"
"荒川区","279","3","639","1","2","5","23","1","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","4","1","0","0","0"
"板橋区","512","10","1190","0","0","15","31","2","0","1","0","1","0","0","1","0","2","0","0","1","0","0","1","1","16","16","10","2","1","1","1"
"練馬区","629","17","1524","4","6","29","79","5","0","0","7","0","0","0","0","0","3","0","0","0","0","0","0","0","21","21","13","2","0","0","0"
"足立","562","11","1597","5","14","21","42","2","0","0","4","1","0","0","2","0","0","0","0","0","0","0","0","0","20","20","13","2","0","0","0"
"葛飾区","408","5","817","1","1","6","39","1","1","0","1","0","0","0","0","0","0","0","0","2","0","0","7","5","13","13","8","1","1","1","1"
"江戸川","658","11","1658","5","1","43","55","2","0","2","4","0","0","0","0","0","1","0","0","0","0","0","0","0","19","19","12","2","0","0","0"
"八王子市","1530","12","3542","4","1","61","51","17","0","5","1","0","1","1","0","0","0","0","0","0","0","0","7","5","17","17","11","2","1","1","1"
"町田市","1160","14","2205","0","1","75","105","14","0","0","4","2","1","1","0","0","0","0","0","0","0","0","0","0","13","13","8","1","0","0","0"
"西多摩","375","8","692","0","0","12","17","3","0","0","0","1","0","0","0","0","0","0","0","5","0","0","8","0","14","14","8","1","1","1","1"
"南多摩","622","4","1253","2","0","14","25","6","1","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","14","14","9","1","0","0","0"
"多摩立川","736","10","1490","3","1","26","17","0","0","0","3","0","0","0","1","0","1","0","0","0","0","0","4","1","21","21","14","2","1","1","1"
"多摩府中","1144","23","2610","1","3","62","99","6","1","5","2","0","1","0","0","0","1","0","0","3","0","0","18","1","33","33","21","3","3","3","3"
"多摩小平","1140","17","2294","2","4","26","96","14","0","1","3","0","0","0","0","0","2","0","0","4","0","0","16","11","23","23","15","2","2","2","2"
"島しょ","59","2","98","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","14947","242","33823","54","49","556","1301","92","7","20","56","7","12","2","6","0","17","0","1","19","0","0","115","44","418","418","264","39","25","25","25"
