"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","2","14","10","27","5","3","3","2","0","0","39","0","4","0","0","0","1","0","0","0","0","0","","","","","",""
"区南部","0","0","2","5","37","4","9","1","8","0","0","24","0","12","2","0","0","1","0","0","0","0","0","","","","","",""
"区西南部","0","0","3","5","17","4","9","2","4","0","0","40","0","5","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","7","15","44","12","4","5","3","0","0","23","0","5","0","0","0","1","0","0","0","0","0","","","","","",""
"区西北部","0","0","8","7","21","6","8","7","5","0","0","73","0","13","3","0","0","0","0","0","0","0","0","","","","","",""
"区東北部","0","0","1","3","9","9","10","3","8","1","0","55","0","3","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","0","0","1","9","16","10","9","1","1","0","0","63","0","8","1","0","0","2","0","3","0","0","0","","","","","",""
"西多摩","0","0","1","4","6","3","20","0","1","0","0","15","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","5","4","1","20","13","17","4","5","0","0","18","0","6","2","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","0","2","1","2","4","3","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","1","7","10","4","2","1","5","0","0","30","0","3","2","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","7","7","12","11","9","1","7","0","0","30","0","2","0","0","0","1","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","0","7","51","74","221","85","103","28","49","1","0","412","0","67","11","0","0","7","0","3","0","0","0","","","","","",""
