"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","12","4","7","23","1","5","0","5","1","0","2","1","0","0","1","0","0","2","0","","","","","",""
"区南部","0","5","2","8","40","2","15","6","8","1","1","2","2","1","0","1","0","0","0","0","","","","","",""
"区西南部","1","2","1","8","28","4","5","1","3","0","1","2","2","0","0","2","0","0","0","0","","","","","",""
"区西部","0","6","1","10","43","4","2","0","4","0","1","7","0","0","0","2","0","0","1","0","","","","","",""
"区西北部","0","1","1","4","15","4","6","4","4","0","5","1","1","0","0","1","0","0","1","0","","","","","",""
"区東北部","2","1","1","8","21","6","4","3","6","1","2","11","3","0","0","3","0","0","2","1","","","","","",""
"区東部","1","1","1","24","36","5","4","2","8","0","2","10","1","0","0","1","0","0","0","0","","","","","",""
"西多摩","0","3","0","1","6","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","2","3","41","52","4","16","2","13","2","1","5","1","0","0","5","0","0","0","0","","","","","",""
"北多摩西部","0","0","0","5","5","2","0","0","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"北多摩南部","1","0","0","4","2","1","10","0","5","0","0","1","1","0","0","0","0","0","1","1","","","","","",""
"北多摩北部","1","17","1","5","11","2","1","2","5","0","1","0","1","0","0","2","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","7","50","15","125","282","37","69","20","62","5","14","42","13","1","0","18","0","1","7","2","","","","","",""
