"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","39","1","1","1","21","6","3","1","1","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"区南部","22","1","3","2","14","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","55","0","1","6","35","10","0","0","1","0","0","1","0","0","0","0","1","1","0","0","1","","","","","",""
"区西部","49","4","1","2","54","10","1","0","2","0","0","2","2","0","0","0","0","0","2","0","0","","","","","",""
"区西北部","63","2","1","1","32","1","1","0","2","0","0","1","0","0","0","0","0","0","1","0","1","","","","","",""
"区東北部","57","2","1","5","34","10","0","2","1","0","0","2","1","0","0","1","0","0","3","0","0","","","","","",""
"区東部","101","1","3","7","38","9","2","0","1","0","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"西多摩","18","0","2","1","12","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","58","9","1","19","77","21","4","1","2","0","2","1","1","1","0","2","0","0","0","0","1","","","","","",""
"北多摩西部","38","0","1","4","16","3","0","0","1","0","0","2","0","0","0","0","0","0","0","0","1","","","","","",""
"北多摩南部","22","1","3","3","6","4","3","1","0","1","0","1","0","0","0","0","1","0","1","0","2","","","","","",""
"北多摩北部","49","2","4","8","25","5","1","0","1","0","0","0","1","1","0","1","0","0","1","0","1","","","","","",""
"島しょ","4","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","575","23","22","59","365","90","15","5","12","1","2","12","5","2","0","4","2","1","8","0","10","","","","","",""
