"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","128","0","3","4","13","2","0","4","1","0","0","1","0","0","0","0","0","0","0","0","0","7","","","","","",""
"区南部","58","1","0","1","16","1","2","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","137","4","3","2","11","4","2","0","1","0","0","1","0","0","0","0","0","0","0","0","1","8","","","","","",""
"区西部","145","7","0","1","32","1","1","1","0","0","0","3","0","1","0","0","0","0","0","0","0","3","","","","","",""
"区西北部","212","4","2","4","26","2","0","3","1","0","0","3","0","0","0","1","0","0","0","0","0","3","","","","","",""
"区東北部","214","7","1","9","25","2","1","6","1","1","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"区東部","265","3","2","5","12","1","1","4","2","0","1","1","1","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","98","1","1","1","1","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","1","","","","","",""
"南多摩","260","9","1","15","32","5","1","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","131","2","0","2","15","3","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","102","2","0","2","15","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","5","","","","","",""
"北多摩北部","160","5","1","5","8","2","0","4","1","0","0","1","0","0","0","0","0","0","1","0","0","5","","","","","",""
"島しょ","10","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1920","45","14","51","206","27","9","26","13","2","1","11","2","1","0","5","1","0","1","0","1","37","","","","","",""
