"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","161","1","4","15","114","4","4","23","3","0","1","1","0","0","3","0","0","0","0","0","1","","","","","",""
"区南部","247","1","5","7","94","3","3","12","3","1","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区西南部","234","2","4","11","74","5","1","15","2","0","1","1","0","0","2","0","1","1","0","0","5","","","","","",""
"区西部","243","4","0","16","108","7","2","10","3","0","1","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","261","2","3","30","123","5","6","15","5","0","0","1","0","0","1","0","0","1","0","0","1","","","","","",""
"区東北部","179","0","3","25","160","4","5","8","5","1","1","1","1","0","1","0","0","2","0","0","1","","","","","",""
"区東部","186","5","1","29","170","7","2","20","5","0","1","1","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","75","0","0","6","16","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"南多摩","285","5","3","26","150","9","4","45","5","0","1","1","0","0","1","0","0","0","0","0","2","","","","","",""
"北多摩西部","105","3","1","24","46","3","3","3","1","1","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"北多摩南部","229","1","5","31","85","16","1","26","1","0","0","2","0","0","1","0","0","1","0","0","5","","","","","",""
"北多摩北部","139","4","7","31","76","4","2","17","6","0","0","0","0","0","0","0","0","0","0","0","2","","","","","",""
"島しょ","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","2345","28","36","251","1217","68","36","198","39","3","6","10","1","0","12","0","1","5","0","0","19","","","","","",""
