"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","20","152","5","3","11","26","1","8","0","3","10","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区南部","33","114","5","3","5","16","0","4","0","1","13","1","3","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","12","191","9","16","8","33","1","2","1","1","24","1","3","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","14","185","6","6","12","34","3","4","0","1","7","1","0","1","0","3","0","0","0","0","0","0","","","","","",""
"区西北部","30","360","7","4","23","42","4","8","0","3","18","1","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","14","228","10","4","3","46","1","3","0","1","14","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"区東部","35","264","7","10","13","14","0","7","0","6","13","0","1","0","0","0","0","0","0","0","0","1","","","","","",""
"西多摩","4","43","2","1","1","2","1","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","10","200","5","1","16","52","1","4","0","5","17","0","0","0","0","2","0","0","0","0","0","1","","","","","",""
"北多摩西部","10","93","3","0","10","6","1","4","0","3","11","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","9","181","3","1","21","25","3","5","0","3","15","2","1","1","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","12","97","1","6","10","30","1","1","0","1","3","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"島しょ","0","36","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","203","2144","63","55","133","326","17","52","1","29","151","9","9","3","0","10","0","0","0","0","0","3","","","","","",""
