"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","27","18","714","2","1","20","120","4","0","2","5","2","2","1","0","0","0","0","0","1","0","0","0","5","","","","","","",""
"区南部","12","10","446","2","3","14","68","8","0","7","3","0","1","1","0","0","0","0","0","0","0","0","0","2","","","","","","",""
"区西南部","18","23","661","6","0","20","81","2","3","10","1","0","1","0","0","0","3","0","0","0","0","0","0","2","","","","","","",""
"区西部","14","18","827","10","1","38","71","5","1","2","2","0","1","0","2","0","2","0","0","0","1","1","0","7","","","","","","",""
"区西北部","51","45","1227","8","1","47","144","6","1","10","5","0","2","1","0","1","4","0","0","0","1","0","0","0","","","","","","",""
"区東北部","20","33","953","12","6","19","98","3","0","13","7","0","1","0","1","0","1","0","0","1","0","0","0","0","","","","","","",""
"区東部","16","34","911","11","3","27","113","3","2","7","4","1","1","1","1","0","2","0","0","0","0","0","0","1","","","","","","",""
"西多摩","4","8","131","0","0","4","26","0","0","6","3","0","0","0","0","0","0","0","0","0","0","1","0","1","","","","","","",""
"南多摩","23","28","1377","9","1","27","98","7","1","15","6","2","2","1","0","0","1","0","0","0","0","0","0","1","","","","","","",""
"北多摩西部","8","12","317","1","1","27","41","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","",""
"北多摩南部","19","15","854","5","2","41","78","9","2","7","1","0","1","2","0","0","1","0","0","1","0","1","1","5","","","","","","",""
"北多摩北部","26","17","605","2","1","22","75","4","1","11","3","0","0","0","1","0","0","0","0","0","0","0","1","2","","","","","","",""
"島しょ","0","1","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","238","262","9031","68","20","307","1013","54","11","91","43","5","12","7","5","1","14","0","0","3","2","3","2","27","","","","","","",""
