"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","急性脳炎(日本脳炎を除く)","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","18","0","0","4","45","12","0","4","1","0","0","0","1","3","0","0","0","4","0","0","0","0","0","0","","","","","",""
"区南部","2","0","1","2","48","3","2","0","3","0","0","0","0","4","1","1","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","19","0","0","0","90","14","0","1","3","0","0","0","2","5","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西部","42","0","0","0","77","6","0","0","0","0","0","0","0","7","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区西北部","56","0","0","5","53","10","0","3","4","0","0","3","0","3","0","0","0","2","0","0","0","0","0","0","","","","","",""
"区東北部","10","0","0","3","61","7","0","5","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","4","0","0","1","53","9","0","5","0","0","0","0","0","4","2","0","0","1","0","0","0","0","0","0","","","","","",""
"西多摩","16","0","0","1","27","4","0","2","1","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","37","0","0","3","45","3","0","1","2","0","0","0","1","8","2","0","1","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","20","0","0","2","21","2","1","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","16","0","1","2","19","0","1","2","3","0","0","0","2","4","0","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩北部","6","0","0","3","41","6","2","2","1","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","246","0","2","26","580","76","6","25","21","0","3","3","9","55","5","1","1","10","0","0","0","0","0","0","","","","","",""
