"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","風しん","ヘルパンギーナ","麻しん（成人麻しん以外）","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","成人麻しん","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","5","2","6","28","3","5","2","4","0","0","1","0","1","1","0","0","3","0","0","0","0","0","","","","","",""
"区南部","2","0","1","9","35","5","2","2","3","0","0","1","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","0","3","2","22","8","8","1","3","0","0","1","0","8","1","0","0","0","0","0","0","0","0","","","","","",""
"区西部","0","0","1","12","29","5","1","0","2","0","0","0","0","2","0","0","0","3","0","0","1","0","0","","","","","",""
"区西北部","0","0","0","8","13","5","16","1","3","0","0","2","0","1","1","0","0","0","0","0","1","0","0","","","","","",""
"区東北部","0","0","0","5","12","4","14","0","2","0","0","4","0","4","0","0","0","0","0","0","0","0","0","","","","","",""
"区東部","10","0","1","1","20","4","3","0","4","0","0","0","0","3","1","1","0","1","0","0","0","0","0","","","","","",""
"西多摩","0","0","1","3","16","5","1","2","1","0","0","1","0","9","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","1","0","0","8","4","4","1","3","0","0","2","0","5","1","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","1","0","8","0","3","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","0","0","3","11","4","2","4","7","0","0","0","0","3","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","1","2","9","1","4","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","13","6","11","51","211","48","63","14","35","0","0","12","0","42","5","1","0","7","0","0","2","0","0","","","","","",""
