"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","2","1","2","9","66","7","1","0","7","0","0","3","0","1","0","3","0","0","0","0","","","","","",""
"区南部","6","0","4","11","79","6","0","4","5","2","0","1","1","0","0","0","0","0","0","0","","","","","",""
"区西南部","3","0","0","7","44","11","0","0","0","0","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区西部","4","0","0","8","81","1","0","0","3","2","0","1","1","0","0","2","0","1","0","0","","","","","",""
"区西北部","5","0","0","4","55","7","0","0","8","1","0","2","2","0","0","1","0","0","0","0","","","","","",""
"区東北部","2","1","0","8","43","4","1","1","0","0","0","6","1","0","0","1","0","0","2","0","","","","","",""
"区東部","4","0","3","9","62","7","0","2","5","0","0","3","0","0","0","1","0","0","0","0","","","","","",""
"西多摩","1","1","0","0","14","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","9","0","0","38","94","21","1","2","7","0","0","4","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","1","0","0","1","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","6","0","0","0","17","7","0","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩北部","8","1","3","2","29","8","0","0","5","0","0","0","0","0","0","1","0","0","0","0","","","","","",""
"島しょ","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","51","4","12","98","597","83","3","9","41","5","0","21","5","1","0","9","0","1","2","0","","","","","",""
