"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","1","7","4","19","8","15","0","7","0","38","3","1","0","0","2","0","1","1","0","0","","","","","",""
"区南部","0","4","29","23","68","5","7","0","8","1","81","16","3","1","0","1","0","0","0","0","0","","","","","",""
"区西南部","2","1","8","22","42","8","30","7","8","0","61","3","3","1","0","1","0","1","2","0","0","","","","","",""
"区西部","1","2","2","22","35","6","10","1","11","0","72","0","1","0","0","1","1","0","0","0","0","","","","","",""
"区西北部","1","0","7","14","43","5","10","0","10","0","122","3","3","0","0","0","0","1","0","0","0","","","","","",""
"区東北部","0","4","6","13","66","12","19","1","18","1","115","3","1","0","0","2","0","0","4","0","0","","","","","",""
"区東部","0","6","26","16","73","8","20","1","8","0","118","3","6","0","0","1","0","0","1","0","0","","","","","",""
"西多摩","0","0","0","3","15","4","1","0","3","0","23","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","1","6","7","32","121","13","27","2","11","1","229","7","7","0","0","1","0","0","0","0","0","","","","","",""
"北多摩西部","0","2","1","9","14","1","5","0","3","0","30","7","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","2","16","26","6","12","2","12","0","62","0","4","1","0","0","0","0","1","0","0","","","","","",""
"北多摩北部","0","3","6","9","31","13","9","1","8","0","95","0","0","0","0","0","0","0","1","0","0","","","","","",""
"島しょ","0","0","0","2","0","3","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","","","","","",""
"合計","5","30","101","185","553","92","165","15","108","3","1046","45","29","3","0","9","1","3","11","0","0","","","","","",""
