"","インフルエンザ","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","百日咳","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","0","5","7","2","13","1","6","3","6","0","21","5","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","0","2","6","9","48","8","2","1","9","1","32","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","0","3","6","12","27","3","8","6","7","0","28","1","0","0","0","5","1","0","0","0","0","0","","","","","",""
"区西部","0","1","11","6","33","4","7","1","2","0","21","10","5","0","0","0","0","0","0","0","0","0","","","","","",""
"区西北部","1","1","8","6","29","11","23","3","8","0","43","4","2","0","0","4","0","0","0","0","0","0","","","","","",""
"区東北部","0","5","1","14","48","7","9","0","4","1","21","6","3","0","0","2","0","0","0","0","0","0","","","","","",""
"区東部","0","7","6","9","57","7","12","3","22","0","18","2","2","0","0","0","0","0","0","0","0","0","","","","","",""
"西多摩","0","0","0","0","9","3","2","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","0","10","2","20","69","7","11","13","5","0","28","8","3","0","0","1","0","0","0","0","0","0","","","","","",""
"北多摩西部","0","1","2","5","19","3","5","0","5","0","11","1","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","0","1","5","10","20","3","14","3","2","0","21","2","2","0","0","3","0","0","0","0","0","0","","","","","",""
"北多摩北部","0","0","3","12","21","3","22","1","11","0","19","1","0","0","0","2","0","0","0","0","0","0","","","","","",""
"島しょ","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","1","36","57","105","393","60","122","35","82","2","266","42","18","0","0","17","1","0","0","0","0","0","","","","","",""
