"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","41","91","12","6","17","65","2","4","0","3","34","2","1","0","0","0","0","0","0","0","0","0","","","","","",""
"区南部","38","63","41","14","33","72","1","10","1","2","74","1","2","0","0","0","0","0","0","0","0","0","","","","","",""
"区西南部","32","107","27","6","35","74","0","4","0","2","77","0","1","0","0","1","0","1","0","0","0","0","","","","","",""
"区西部","11","120","12","4","30","66","0","8","0","6","40","1","2","0","0","1","0","0","0","0","0","0","","","","","",""
"区西北部","54","196","39","7","25","72","1","13","0","8","87","0","0","0","0","1","0","0","0","0","0","0","","","","","",""
"区東北部","13","110","49","13","14","102","1","9","1","4","74","2","0","1","0","0","0","0","0","0","0","0","","","","","",""
"区東部","30","144","31","8","13","80","0","5","0","4","93","0","1","0","0","0","1","0","0","0","0","0","","","","","",""
"西多摩","7","37","2","1","2","9","0","2","0","2","9","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"南多摩","17","123","26","12","30","195","2","20","1","5","117","5","3","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩西部","14","47","16","0","32","40","0","15","0","4","38","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"北多摩南部","19","75","19","10","23","68","4","12","0","4","95","1","3","0","0","3","0","0","0","0","0","0","","","","","",""
"北多摩北部","29","68","23","5","19","94","2","4","1","2","75","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"島しょ","0","13","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","305","1194","298","86","273","937","13","106","4","46","813","12","13","1","0","6","1","1","0","0","0","0","","","","","",""
