"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","21","19","894","3","8","34","110","7","1","9","3","0","1","2","1","0","1","0","0","0","0","0","0","1","","","","","","",""
"区南部","14","11","641","6","7","37","104","3","1","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"区西南部","15","15","827","0","4","46","81","2","1","7","2","0","0","1","0","0","0","0","0","0","0","0","0","4","","","","","","",""
"区西部","9","9","843","4","1","48","65","4","0","5","0","0","0","0","1","0","0","0","0","0","0","0","0","4","","","","","","",""
"区西北部","32","33","1345","9","3","65","162","18","0","5","2","0","0","1","0","0","6","0","0","0","0","1","0","1","","","","","","",""
"区東北部","17","21","1027","8","7","35","74","6","0","25","7","0","0","1","0","0","1","0","0","0","0","2","0","3","","","","","","",""
"区東部","12","26","1144","8","5","68","168","4","0","5","2","0","1","2","0","0","3","0","0","0","0","0","0","0","","","","","","",""
"西多摩","0","6","126","1","2","8","12","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"南多摩","27","14","1771","5","0","42","141","8","1","17","2","0","1","0","0","0","0","0","0","0","0","0","0","3","","","","","","",""
"北多摩西部","13","10","437","3","2","27","41","1","0","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"北多摩南部","14","11","970","3","3","47","57","8","0","8","3","0","1","5","0","0","2","0","0","0","0","0","1","2","","","","","","",""
"北多摩北部","18","20","812","6","0","43","85","5","1","13","4","0","0","0","1","0","0","0","0","0","0","0","0","7","","","","","","",""
"島しょ","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","",""
"合計","192","195","10848","56","42","501","1100","67","5","114","30","0","5","12","3","0","13","0","0","0","0","3","1","25","","","","","","",""
