"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年9週"
"集計期間終了週","2025年9週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区中央部","21","29","10","2","17","155","5","0","11","1","0","0","0","0","0","2","0","0","0","0","0","2","6","","","","","",""
"区南部","20","42","11","3","18","174","6","0","7","3","0","1","0","0","0","0","0","0","0","0","0","0","1","","","","","",""
"区西南部","34","38","10","1","18","144","3","0","8","0","0","0","1","0","0","1","0","0","0","0","1","0","15","","","","","",""
"区西部","19","35","5","0","31","193","3","0","2","2","0","0","1","5","0","3","0","0","0","0","1","0","9","","","","","",""
"区西北部","33","73","9","1","38","283","2","0","12","2","0","1","1","1","0","1","0","0","0","0","5","0","1","","","","","",""
"区東北部","39","49","10","3","29","207","3","2","14","6","0","0","0","0","0","0","0","0","0","0","2","1","4","","","","","",""
"区東部","29","56","8","4","22","203","5","0","16","2","0","0","1","0","0","1","0","0","0","0","1","1","3","","","","","",""
"西多摩","4","16","0","0","3","21","0","0","4","0","0","0","0","0","0","0","1","0","1","0","0","0","2","","","","","",""
"南多摩","37","66","4","1","27","172","0","0","13","1","0","0","0","0","0","0","0","0","0","0","0","1","16","","","","","",""
"北多摩西部","22","26","12","0","12","55","2","2","7","0","0","0","0","0","0","1","0","0","0","0","0","0","3","","","","","",""
"北多摩南部","31","44","8","1","33","118","8","1","10","1","0","0","0","0","0","0","0","0","0","0","0","1","8","","","","","",""
"北多摩北部","14","34","4","0","31","123","3","0","15","4","0","1","1","0","0","0","0","0","0","0","0","0","13","","","","","",""
"島しょ","0","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",""
"合計","303","515","91","16","279","1849","40","5","119","22","0","3","5","6","0","9","1","0","1","0","10","6","81","","","","","",""


"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年9週"
"集計期間終了週","2025年9週"
"性別","女性"

